Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x2b83,33616.73,2828.394166666667,2,6,10,1,1,3,2.7300000000000004,90,1267.26,26.49604995989957,24.111850388170648,59.64377292699398,439.08379335150215,2023-01-01,2025-10-06 10:48:29.241,30,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x321f,31002.86,2848.5716666666667,8,6,10,0,5,12,5.1,20,1256.7,32.76453007855753,0.0,139.1845545615058,435.6726121051609,2023-01-01,2025-10-06 10:48:29.241,26,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x8f4e,32412.72,2887.06,9,6,32,9,40,23,7.99,120,3632.05,33.696084784829104,163.06753585436562,201.0037711743061,194.63469297132823,2023-01-01,2025-10-06 10:48:29.241,10,5,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x12fb,26342.91,1949.2425,6,7,7,1,23,14,17.6,30,397.9,33.21173803384935,57567.0,48.05730642437603,365.2837329906362,2023-01-01,2025-10-06 10:48:29.241,22,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x3733,12868.625,829.3854166666667,6,7,5,4,28,8,0.77,30,837.85,33.952106910750715,39.26859785049104,59.11133336755002,286.8147768595968,2023-01-01,2025-10-06 10:48:29.241,33,5,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x3bde,34980.94,2653.078333333333,1,5,7,3,6,11,4.66,30,715.01,27.295159051471757,52.92380655556158,22.297638395870447,430.0863883819013,2023-01-01,2025-10-06 10:48:29.241,17,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x5877,79710.09,6375.5075,3,4,16,3,21,13,4.85,40,109.97,26.987430809339727,165.05454196369772,433.7901550840264,308.7060529522759,2023-01-01,2025-10-06 10:48:29.241,33,2,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x89a,49217.68,4154.473333333333,7,3,5,0,18,11,9.88,50,1140.58,25.483798409981777,0.0,64.28021187500076,601.1671214583325,2023-01-01,2025-10-06 10:48:29.241,18,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x1960,32707.14,2679.595,5,6,20,1,30,9,1.97,40,405.07,34.46626402406045,22.10318545741732,77.6430189772598,448.2132955653229,2023-01-01,2025-10-06 10:48:29.241,23,11,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x541a,44152.16,3831.346666666667,3,7,18,3,19,11,2.35,10,634.52,34.91669166621865,107.99023314874432,154.54363075591738,410.60080276200506,2023-01-01,2025-10-06 10:48:29.241,20,4,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x56f1,18910.83,1609.9025,1,4,7,0,25,8,2.88,80,912.67,33.93315200955191,0.0,127.5855135382914,313.40473646170864,2023-01-01,2025-10-06 10:48:29.241,25,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x9124,52561.62,4572.135,8,8,32,2,30,18,11.63,90,1312.29,29.16209732152084,48.935271886060725,128.36602547443798,549.9122026395013,2023-01-01,2025-10-06 10:48:29.241,15,8,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x4340,66061.04,5762.086666666666,6,5,22,3,24,22,4.92,170,1801.38,32.346941011913664,100.80218631330352,208.00321298921776,557.4032673641453,2023-01-01,2025-10-06 10:48:29.241,12,9,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x537,75776.54999999999,6580.712499999999,5,4,15,1,11,17,13.86,15430,1.37,28.154606808441443,60.27778125973964,80.53264859717362,767.2608201430867,2023-01-01,2025-10-06 10:48:29.241,26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xa2ee,9921.775,753.8145833333333,7,9,26,8,57,19,16.56,160,4703.9,25.442594066545965,56.50456499877907,31.05531638255331,257.8215769520009,2023-01-01,2025-10-06 10:48:29.241,13,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x2ad2,34947.63,3022.3025,3,7,20,4,7,8,2.49,30,936.29,21.945167360121545,77.86290674407878,10000.0,278.5516153515224,2023-01-01,2025-10-06 10:48:29.241,16,10,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x752c,99952.32,8120.3600000000015,3,6,3,3,10,4,8.74,0,162.01,32.31288016810708,224.2379725190021,527.7563604838589,330.04166699713903,2023-01-01,2025-10-06 10:48:29.241,27,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x9e09,31707.73,2386.310833333333,8,7,7,0,27,19,12.51,80,526.48,33.35478001633831,28.61210083527193,171.9457002763332,308.07328222172816,2023-01-01,2025-10-06 10:48:29.241,20,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x773,44498.78,3748.231666666666,4,5,18,3,17,11,11.73,2090,1131.03,33.157926846507955,92.44447272921605,80.29180518043147,462.0868887570192,2023-01-01,2025-10-06 10:48:29.241,24,9,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x9916,69591.18,5708.264999999999,5,1,2,2,7,0,4.02,60,1050.09,29.715501246394734,73.6064190847753,156.92066421094887,590.2994167042757,2023-01-01,2025-10-06 10:48:29.241,32,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0xc0f6,177330.24,14601.52,2,5,8,3,12,7,10.98,13750,529.85,37.23282466481047,435.3482727311397,245.8716231914609,1028.9321040773993,2023-01-01,2025-10-06 10:48:29.241,29,5,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x758e,47202.12,3823.373563802063,3,3,12,0,12,20,1.39,70,1333.49,30.01457326426033,341.1364361979373,155.7712507144454,510.6797492855546,2023-01-01,2025-10-06 10:48:29.241,28,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x948f,116268.16,9677.013333333334,4,5,9,0,18,10,11.48,20,681.5,40.61096059726139,74.6322982432199,232.7969719798637,900.27206311025,2023-01-01,2025-10-06 10:48:29.241,29,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0xb93e,63259.8,5538.6500000000015,4,4,17,6,17,19,16.86,70,2572.3,37.47541549810493,263.0772078847184,218.61890369140286,332.16888842387885,2023-01-01,2025-10-06 10:48:29.241,18,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x5525,80815.4,6862.616666666666,8,3,9,0,29,14,6.37,20,575.33,34.57211715927714,0.0,119.85976398657823,806.4019026800884,2023-01-01,2025-10-06 10:48:29.241,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x2cae,115614.27,9443.5225,3,4,5,0,8,4,11.46,20,1426.43,27.8519645258674,0.0,164.5918677390539,1019.760382260946,2023-01-01,2025-10-06 10:48:29.241,23,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x354b,55263.82,4881.318333333334,4,3,7,1,11,10,13.76,60,1051.33,36.66469813725525,28.177523490053115,399.28920582406,350.6651040192203,2023-01-01,2025-10-06 10:48:29.241,24,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x7580,18122.8,1608.2333333333331,4,6,19,6,22,10,7.77,130,2280.42,38.37406584679459,68.73199220632158,54.70990174535378,297.38143938165797,2023-01-01,2025-10-06 10:48:29.241,15,4,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x832d,42052.74,3790.395,7,7,8,3,26,17,12.51,100,444.77,35.75943997369954,66.53508304058968,116.6600890659519,445.84432789345846,2023-01-01,2025-10-06 10:48:29.241,14,2,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x2de0,20341.77,1604.1475,8,4,22,2,7,18,10.85,70,1982.38,26.29584560925271,31.2666187749207,211.13632982027542,208.01180140480386,2023-01-01,2025-10-06 10:48:29.241,18,8,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x6f5d,18577.62,1290.9090363294506,6,8,26,2,24,14,14.53,120,2186.18,30.784653934320428,197.3190752613393,148.96478097478646,222.5161689977712,2023-01-01,2025-10-06 10:48:29.241,18,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x9b24,19287.935,1399.3279166666669,2,7,7,2,3,12,7.69,30,102.81,36.60928594085191,29.17934291409124,101.4933974484864,299.26005130408913,2023-01-01,2025-10-06 10:48:29.241,31,11,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0xb73,51433.89,4374.1575,7,9,30,5,55,16,31.15,110,4322.54,36.26162042786926,137.98287437291208,162.78203300673516,386.65084262035276,2023-01-01,2025-10-06 10:48:29.241,3,2,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0xea6,42772.49,3664.374166666666,4,4,2,4,13,10,1.26,60,1321.62,28.34498847387921,140.9196843574529,423.53195239324754,91.9857799159662,2023-01-01,2025-10-06 10:48:29.241,31,10,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x289e,27635.39,2447.9491666666668,5,3,12,2,25,18,18.95,110,1022.51,25.57182930988384,25.50513852305656,325.0265391352047,184.26323900840546,2023-01-01,2025-10-06 10:48:29.241,28,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x3fc3,48783.44,4187.286666666667,3,7,18,3,11,16,10.96,20,146.68,26.301575373025365,79.61675438989963,332.46085737652646,296.6510549002405,2023-01-01,2025-10-06 10:48:29.241,20,3,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x7a84,33189.63,2688.8025,3,3,6,4,17,16,0.84,50,1101.15,26.823687661178173,59.387531948473786,199.57995456131405,299.91276349021217,2023-01-01,2025-10-06 10:48:29.241,16,8,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
