Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x37cd,15916.47,1317.3725,3,6,9,4,18,20,10.05,60,1322.7,24.69773442823213,40.62841199099505,104.48424390306884,266.62459410593607,2023-02-01,2025-10-06 10:48:44.104,12,11,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0x5235,34666.02,2946.835,8,6,25,4,22,17,7.06,80,1353.07,35.02100786260468,70.95007660242807,377.14742033254623,136.58600306502566,2023-02-01,2025-10-06 10:48:44.104,10,8,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x5cb9,133581.15000000002,11103.762500000004,0,6,11,3,4,9,4.91,0,450.79,33.49045314184997,225.40893624186657,1092.236255030187,72.73105872794667,2023-02-01,2025-10-06 10:48:44.104,24,8,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0xbaf4,18268.61,1317.3841666666667,3,4,6,4,24,14,11.05,60,393.05,31.81597585700432,42.07877620917242,50.857901685107315,308.80173877238695,2023-02-01,2025-10-06 10:48:44.104,25,10,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0xbff1,20817.455,1657.787916666667,5,3,10,4,1,0,1.52,30,691.9,36.21919039079432,44.94859543013903,132.01132204190068,258.81887419462697,2023-02-01,2025-10-06 10:48:44.104,29,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x160a,18094.55,1570.8791666666666,9,10,18,7,37,19,28.47,120,2673.3,26.329134624010123,99.26816949411078,10.799854558594637,287.01989261396125,2023-02-01,2025-10-06 10:48:44.104,8,3,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0x1e5e,28501.86,2395.155,4,2,10,2,5,0,10.78,0,1045.3,25.9918493792884,29.153764836212968,154.94351572881854,335.4182194349685,2023-02-01,2025-10-06 10:48:44.104,24,5,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x432,14180.48,956.7066666666668,6,7,21,6,49,17,27.69,100,3229.56,37.081252147422965,50.0507587287941,124.18117992431813,211.43872801355445,2023-02-01,2025-10-06 10:48:44.104,13,5,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x5a7d,33694.79,2999.899166666666,8,3,20,3,10,3099,4.82,10,472.42,32.34638569577509,65.81273941008239,241.34394569494947,262.8332315616349,2023-02-01,2025-10-06 10:48:44.104,16,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x5d4c,61314.12,5279.51,0,3,8,3,4,1,0.0,40,829.54,29.03505993601353,92.42191119995042,71.54109454812813,603.9879942519215,2023-02-01,2025-10-06 10:48:44.104,20,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
