Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x45db,86742.32,7030.526666666668,8,4,19,2,8,15,14.12,20,19.11,32.822142469528345,136.34231114684215,329.03778563125235,497.6725698885724,2023-05-01,2025-10-06 10:49:24.263,26,5,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0xa685,62538.3,5371.5250000000015,2,5,8,3,5,8,8.8,50,1375.7,30.454389439068045,87.79120053904198,62.99010842137145,636.3711910395866,2023-05-01,2025-10-06 10:49:24.263,22,6,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x8dfa,61936.88,5216.406666666667,4,4,7,5,20,22,10.39,90,1877.98,31.68368989884946,18095.0,111.82547975743135,426.4537264883186,2023-05-01,2025-10-06 10:49:24.263,18,10,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xc4b3,16860.705,1178.05875,5,1216,1,1,11,6,2.78,20,1476.91,27.30475098697556,12.608522556264546,56.19086325258116,339.00648919115434,2023-05-01,2025-10-06 10:49:24.263,33,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x1e96,17187.27,1589.2725,10,7,24,8,50,15,7.79,80,4962.25,29.185747069581826,90.56454168926052,121.8084941686795,236.55421414206,2023-05-01,2025-10-06 10:49:24.263,5,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x3507,59459.06999999999,4502.973455381875,6,10,17,4,40,15,11.19,110,1736.21,30.09326815089104,734.8485130956094,318.25517530298606,130.61737566945342,2023-05-01,2025-10-06 10:49:24.263,6,10,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x4638,48706.59,4170.8825,10,7,34,4,28,17,18.63,130,2630.08,27.51653790297227,120.82529494775775,60.16161344668755,476.10134160555464,2023-05-01,2025-10-06 10:49:24.263,16,9,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x50d4,41159.54,3638.961666666666,9,6,16,7,31,24,4.46,100,2370.64,22.41569671944486,157.12693894267738,321.8528905433793,174.91633718060996,2023-05-01,2025-10-06 10:49:24.263,19,11,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x8a31,147510.76,12482.563333333335,3,7,8,0,27,1,4.97,30,1461.38,35.3122107416366,0.0,582.9344225149855,955.321910818348,2023-05-01,2025-10-06 10:49:24.263,16,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xb3b0,40626.05,3516.504166666667,1,4,4,3,13,9,1.4400000000000004,30,74.14,33.00142979490181,53.88119413126728,68.04187439449949,479.72734814089995,2023-05-01,2025-10-06 10:49:24.263,17,9,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0xbda2,37302.1,3320.508333333333,3,2,12,4,13,12,3.93,50,907.73,29.6462204072518,80.27175238706691,64.79562562481352,446.98345532145294,2023-05-01,2025-10-06 10:49:24.263,22,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x7d44,34689.26,2608.771666666667,7,3,18,0,17,15,7.55,30,430.6,29.742125469015757,0.0,224.05471954477198,326.8224471218947,2023-05-01,2025-10-06 10:49:24.263,27,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x9274,19797.895,1816.824583333333,4,4,6,1,7,4,9.28,30,607.67,24.329274152985807,13.04719432467752,179.78572555868462,278.8495384499712,2023-05-01,2025-10-06 10:49:24.263,15,11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x970b,25417.33,2036.1108333333332,7,7,19,7,22,19,12.58,60,432.76,31.827367226478533,15586.0,46.8745393252541,305.53401432210836,2023-05-01,2025-10-06 10:49:24.263,14,11,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x295f,19436.305,1849.692083333333,4,2,8,4,3,5,9.64,20,244.27,38.2634429262755,66944.0,23.369183279733228,369.1546307269333,2023-05-01,2025-10-06 10:49:24.263,25,9,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x3d26,26939.95,2466.995833333333,7,3,10,2,9,16,19.65,70,826.57,28.813514022640533,35.48240610382291,81.57871480898875,379.6384624205217,2023-05-01,2025-10-06 10:49:24.263,19,8,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x23ae,34838.94,2895.245000000001,3,9,20,5,28,15,14.56,70,1958.28,25.126313503109174,74.41338889320153,102.34644776820532,362.7646633385932,2023-05-01,2025-10-06 10:49:24.263,15,9,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x68a8,8227.855,656.6545833333333,6,8,31,7,65,20,14.6,90,2695.38,25.87083697259344,28.01286507190069,61.35377375712097,266.29881950431167,2023-05-01,2025-10-06 10:49:24.263,11,8,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x8cd,7367.11,616.9258333333332,10,6,29,7,17,22,29.92,120,3898.81,24.18440431597772,28.27088597458801,30.669591754071735,292.7521056046736,2023-05-01,2025-10-06 10:49:24.263,6,5,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xe36,46264.71,3857.3925,8,9,27,0,51,12,3.34,100,3025.1,31.956570637381148,249.0294049536861,127.58884446942447,269.1210005768894,2023-05-01,2025-10-06 10:49:24.263,12,6,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x9e3c,33579.27,2523.2725,6,5,20,3,18,14,13.51,70,517.8,23.88385218500444,70.92850703935073,105.58764858002756,325.8110943806217,2023-05-01,2025-10-06 10:49:24.263,21,4,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xae79,47280.76,3713.063333333334,5,3,17,0,12,20,11.91,30,1134.41,27.178858483125328,0.0,97.92441669620241,533.381916637131,2023-05-01,2025-10-06 10:49:24.263,27,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x3768,17517.55,1293.7958333333331,8,7,4,0,3,16,10.07,60,1321.23,25.46858239115657,0.0,102.2418297292494,317.137753604084,2023-05-01,2025-10-06 10:49:24.263,15,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x258b,66502.76,5379.8966666666665,0,6,1,2,29,10,7.06,20,276.91,35.513554292163526,80.100174314101,149.12928306433614,558.7602092882296,2023-05-01,2025-10-06 10:49:24.263,19,3,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x4dcd,72760.04,6085.336666666666,8,4,15,1,21,13,6.58,20,792.46,28.37168827967708,31.28499647926332,221.61980677770399,615.6288634096992,2023-05-01,2025-10-06 10:49:24.263,22,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x7846,88380.16,7471.013333333332,7,7,19,3,11,19,8.7,70,124.29,37.81806748232952,129.72369861636398,93.0214957778547,774.3561389391147,2023-05-01,2025-10-06 10:49:24.263,25,11,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x7dea,28805.34,2309.445,8,3,5,2,13,19,7.02,0,796.45,36.87521357972804,47.195122926112205,140.14213810403038,333.60723896985746,2023-05-01,2025-10-06 10:49:24.263,32,5,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x8398,15937.74,1144.145,9,9,33,3,25,22,19.26,120,2432.09,36.063766409959065,38.4175166143785,61.038796202787644,274.95818718283385,2023-05-01,2025-10-06 10:49:24.263,12,11,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0xc29a,33337.84,2909.153333333333,9,9,24,7,41,24,29.64,130,3652.25,35.23707711715305,136.80995946791714,113.58212924125641,300.52324462415976,2023-05-01,2025-10-06 10:49:24.263,6,10,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x5711,7708.69,379.39083333333326,8,747,2630,5,52,15,28.96,130,4147.58,34.11793797920834,26.588314314046865,36.10871394755009,255.24205507173642,2023-05-01,2025-10-06 10:49:24.263,2,3,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x9be9,9821410.0,3468.5825,654,6,15,7,30,15,15.53,110,1489.73,30.58946796391556,214.0097779141905,156.45842110987041,236.3900509759391,2023-05-01,2025-10-06 10:49:24.263,13,8,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0xa0f4,48662.02,4301.168333333333,7,7,5,4,32,13,11.96,20,660.09,39.33915719059059,86.44703440996695,28.119146748448447,555.550652174918,2023-05-01,2025-10-06 10:49:24.263,31,6,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x2c99,9648.22,931.0183333333332,9,5,26,7,47,20,1.07,120,2505.92,30.544354213186026,52.68936754854551,109.1565844795074,221.25588130528047,2023-05-01,2025-10-06 10:49:24.263,11,2,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
