Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x51c,20785.41,1823.1175,5,4,15,3,14,14,12.03,0,420.31,26.379206228084826,37.36324270494893,117.68349737968072,317.26500991537034,2023-06-01,2025-10-06 10:49:38.539,22,10,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x9b12,18378.81,1797.5675,6,3,34,7,15,12,11.04,80,1834.98,31.624082443988208,92.85896938815814,78.30843054506315,298.5893500667787,2023-06-01,2025-10-06 10:49:38.539,13,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x9bb9,152078.0,12435.166666666664,0,3,6,0,7,12,2.64,0,316.26,27.734677627827097,5600.0,937.1183031614888,586.3983635051778,2023-06-01,2025-10-06 10:49:38.539,26,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x3e1f,36320.13,3271.6775,7,6,5,4,17,13,6.71,20,759.44,34.48007285128965,106.81307047440716,194.9384143060941,295.4162652194988,2023-06-01,2025-10-06 10:49:38.539,16,3,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x52b7,53331.48,4255.29,10,5,26,9,64,21,16.23,150,2913.93,26.38668838359882,230.3405623660969,460.05106168110916,25.137375952793946,2023-06-01,2025-10-06 10:49:38.539,2,5,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x96f7,16544.455,1111.3292225868156,1,3,11,0,13,3404,5.31,10,217.92,32.34303107851738,98.37536074651784,152.24999938633346,258.7204589469999,2023-06-01,2025-10-06 10:49:38.539,24,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xad19,109364.08,9409.673333333334,3,3,16,3,17,8,6.09,50,409.27,29.83004277307231,227.29440822176383,701.212420396818,292.4605047147517,2023-06-01,2025-10-06 10:49:38.539,21,5,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x69f3,46841.92,3734.493333333333,3,4,13,4,21,19,18.32,50,1483.22,24.41131398519019,149.39035924729075,56.845789515315936,407.2131845707265,2023-06-01,2025-10-06 10:49:38.539,5,9,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x76d4,36591.25,3115.270833333333,7,5,5,4,17,10,7.12,50,575.21,40.072518427000745,67.41331375213596,131.20191153534572,372.91185804585166,2023-06-01,2025-10-06 10:49:38.539,33,5,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0xa7b6,67845.56,5177.606476855298,3,5,20,4,21,17,19.63,110,1478.49,26.68052092646284,767.6307489444307,741.7565495548217,0.3825579787828133,2023-06-01,2025-10-06 10:49:38.539,19,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x25a5,28941.24,2474.77,3,5,11,4,8,9,8.59,60,562.01,25.766227062134305,74.82176802686344,77.91897950722617,344.73625246591035,2023-06-01,2025-10-06 10:49:38.539,19,11,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x3102,40612.16,3599.346666666667,3,4,9,0,6,11,5.84,40,314.79,40.16978133465636,0.0,113.71553707543458,496.21912959123216,2023-06-01,2025-10-06 10:49:38.539,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x7051,120922.26,10367.855,2,2,4,2,2,2,3.37,60,1169.18,40.94628942122403,126.7274275860904,525.7244402095098,890.3445381981721,2023-06-01,2025-10-06 10:49:38.539,21,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x1a2f,152340.56,12568.046666666669,5,4,8,4,12,12,7.66,60,329.18,37.67519601487619,422.7939489171508,275.5957914893293,798.4149262601868,2023-06-01,2025-10-06 10:49:38.539,26,10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x1e91,70793.38,6103.448333333334,5,3,8,1,22,18,9.68,70,138.21,26.706340552446875,51.125511432731706,415.2197852461593,423.99953665444235,2023-06-01,2025-10-06 10:49:38.539,21,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0x26d7,21623.465,1776.955416666667,2,4,10,2,8,10,6.65,50,569.26,37.07298788254523,34.33589951918049,66.12125794974452,357.2383841977416,2023-06-01,2025-10-06 10:49:38.539,16,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x3b1f,44103.18,3416.265,3,7,13,4,5,16,11.62,70,2576.96,23.84245844151605,107.4631287792455,357.0094092188359,167.15396200191861,2023-06-01,2025-10-06 10:49:38.539,13,11,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x1698,9221.875,598.4895833333334,6,5,34,4,40,16,16.48,110,2374.03,35.238512910800594,28.987762624004727,66.92892025117658,253.93227545815205,2023-06-01,2025-10-06 10:49:38.539,16,4,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x2c22,23625.55,2147.7958333333336,3,3,19,1,6,16,12.37,80,43.28,28.10542756693031,13.171200578006134,26.35360960534912,425.2547731499781,2023-06-01,2025-10-06 10:49:38.539,16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xa71a,15713.83,1313.4858333333334,7,8,23,2,46,12,14.39,70,2271.53,32.034585992065466,20.30880921277818,28.753350327187146,322.28642379336804,2023-06-01,2025-10-06 10:49:38.539,11,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xaaaf,16173.51,1581.7925,8,6,17,2,18,18,17.59,100,751.55,36.979521595149386,17.761332922721916,20.237370313576022,370.18054676370207,2023-06-01,2025-10-06 10:49:38.539,6,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x2fb8,20134.87,1501.905833333333,6,7,6,2,23,13,12.8,100,126.83,31.57442871662756,26.03636451081027,150.40720314487317,253.74701567764993,2023-06-01,2025-10-06 10:49:38.539,31,5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x4d6a,35844.66,2743.0550000000007,7,6,17,4,23,1718,12.07,50,62.16,36.30788140755314,101.1723270853793,130.3823946084735,312.75077830614725,2023-06-01,2025-10-06 10:49:38.539,18,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x5e56,38104.04,3399.336666666666,5,4,7,2,5,5,4.62,0,735.58,41.48212246593712,62.90314246727565,110.12132434055464,397.66300099950166,2023-06-01,2025-10-06 10:49:38.539,17,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
CUS_0x83e,16295.73,1282.9775,10,10,27,4,57,12,19.55,100,2216.62,27.26264489973773,41.27243974593159,171.3417659042907,205.6835443497777,2023-06-01,2025-10-06 10:49:38.539,6,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x864c,43075.97,3481.664166666667,3,5,12,0,4,969,7.81,20,228.63,38.61052697668282,30.306660494686994,28.564146918609772,529.29560925337,2023-06-01,2025-10-06 10:49:38.539,17,4,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0xba16,44288.58,3390.715,10,5,16,8,27,20,4.9,120,1831.88,33.54327402082258,183.92849504518816,270.81538791928705,164.32761703552475,2023-06-01,2025-10-06 10:49:38.539,10,11,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x6c0f,48331.59,3847.4193946985097,7,9,32,6,55,22,15.7,90,3465.91,37.18200081668758,457.038016509619,10000.0,50.07724775991429,2023-06-01,2025-10-06 10:49:38.539,12,2,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x85f4,76714.08,6401.84,0,7,11,3,2,2,6.78,30,1126.3,38.09324768705781,101.28372488792051,359.40339026674127,459.49688484533834,2023-06-01,2025-10-06 10:49:38.539,21,9,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x9122,19773.56,1939.7966666666669,4,3,19,1,14,19,7.31,40,1019.48,25.640076751969204,10.358306585414844,165.0656751646075,288.55568491664434,2023-06-01,2025-10-06 10:49:38.539,23,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x4479,55448.74,4735.7283333333335,7,4,12,1,14,15,18.42,40,1450.89,31.11562752445753,30.184092088645464,185.42861370908082,517.9601275356072,2023-06-01,2025-10-06 10:49:38.539,33,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x5a77,28716.0,2569.0,7,10,16,5,56,25,9.06,120,3530.81,34.98816284523768,90.72796186941385,23.096020397776268,368.44638133552,2023-06-01,2025-10-06 10:49:38.539,8,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0xb15c,16465.64,1672.1366666666663,5,6,5,2,15,15,8.56,0,885.35,35.30780241723809,26.10407861425511,142.7354364863728,278.37415156603873,2023-06-01,2025-10-06 10:49:38.539,15,9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x250b,91018.76,7746.896666666666,4,7,11,2,16,15,0.0,40,666.9,39.27750421295109,118.69415709310042,228.08264903821708,677.9128605353491,2023-06-01,2025-10-06 10:49:38.539,23,10,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x25a4,63761.19,5143.4325,4,3,1,2,12,19,10.29,30,1448.2,35.75768141705046,100.89958449083136,123.8244767257948,549.6191887833738,2023-06-01,2025-10-06 10:49:38.539,22,11,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x74f7,112331.04,9247.92,4,4,8,1,6,12,17.82,10,1311.0,44.477570568752185,89.81788199720677,95.36374520622114,979.6103727965723,2023-06-01,2025-10-06 10:49:38.539,29,11,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x3331,52243.56,4432.63,4,7,27,0,12,15,8.06,120,2584.55,41.30463189933933,126.44266622107696,62.209826069624846,504.6105077092983,2023-06-01,2025-10-06 10:49:38.539,13,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x3a3f,9743.51,829.9591666666665,4,7,8,2,30,19,11.82,0,142.19,39.229587441445815,16.041676774523573,40.64481623456203,306.30942365758114,2023-06-01,2025-10-06 10:49:38.539,24,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x87fe,32411.63,2752.9691666666668,8,7,4456,2,6,20,6.78,50,313.97,36.44529316755542,27.84830407199534,149.15852867727617,358.2900839173952,2023-06-01,2025-10-06 10:49:38.539,17,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x2ab3,35891.33,2936.170716915569,5,4,9,3,30,13,0.0,50,638.27,34.55822549213075,240.3940367005647,264.55400518597753,268.61982453122243,2023-06-01,2025-10-06 10:49:38.539,8,5,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x6b50,103049.46,8408.455,4,6,6,3,23,5,9.46,50,849.98,35.46268622672379,255.2077858106894,10000.0,675.7466991766026,2023-06-01,2025-10-06 10:49:38.539,18,5,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x7e24,49854.92,4216.576666666667,8,3,17,3,17,18,8.07,50,1044.78,38.21382709715776,62.83164834944265,61.56006578889553,547.2659525283285,2023-06-01,2025-10-06 10:49:38.539,18,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0xa7cd,18290.89,1228.2408333333333,8,4,14,1,27,15,0.16000000000000014,30,527.37,22.216788423413877,12.796158289802731,150.02113973757415,323.4494391289561,2023-06-01,2025-10-06 10:49:38.539,31,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0xb395,77020.76,6156.3966666666665,0,3,10,2,15,9,8.76,10,380.09,31.34442288511601,92.21433911238694,627.4585213385266,175.96680621575317,2023-06-01,2025-10-06 10:49:38.539,32,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0xbce0,98828.92,8505.743333333334,5,7,7,0,5,7,12.2,50,821.41,32.626473269045924,0.0,850.607142693977,289.96719063935643,2023-06-01,2025-10-06 10:49:38.539,31,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x61e4,14013.165,900.76375,2,3,4,4,0,5,10.36,60,1404.11,27.82827642244693,38.42009021794846,46.011933958042185,295.64435082400934,2023-06-01,2025-10-06 10:49:38.539,20,5,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
