Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x74fc,25655.23,2081.935833333333,7,5,6,1,16,20,6.3,60,1115.06,28.19109517789414,15.080796058566763,159.41411930329,323.69866797147665,2023-07-01,2025-10-06 10:49:52.123,19,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x7de0,42326.99,3577.249166666666,0,2,4,4,9,10,5.97,40,1233.0,37.16347818811676,116.61871979482096,278.8678427726159,232.2383540992298,2023-07-01,2025-10-06 10:49:52.123,18,5,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x1d7b,70414.1,6112.841666666667,2,1407,9,4,8,11,9.24,40,422.72,36.26133242808228,221.08364574571152,114.47052119819931,515.7299997227559,2023-07-01,2025-10-06 10:49:52.123,23,6,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x584b,92565.81,7870.8175,4,5,14,1,16,14,10.95,0,1236.76,42.87032687632539,55.26199672002035,160.12897960524617,821.6907736747336,2023-07-01,2025-10-06 10:49:52.123,16,6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x282b,63839.24,5192.9366666666665,7,6,14,3,35,16,14.01,110,2695.33,29.663687383271647,144.70962574659617,160.19826371556118,425.5721587463858,2023-07-01,2025-10-06 10:49:52.123,16,10,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x8072,86171.52,7202.96,4,2,2,4,3,9,6.88,15400,821.92,36.69706243993381,207.9350066373084,256.6543816583116,525.7066117043801,2023-07-01,2025-10-06 10:49:52.123,17,6,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x4c4f,39269.97,3102.7784536874137,1,7,1,4,0,5,6.32,40,785.78,29.09111157726093,449.2693512692168,111.87650991914141,397.22293512422766,2023-07-01,2025-10-06 10:49:52.123,24,8,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x6928,18944.84,1616.736666666667,7,6,24,8,59,23,3.5,100,1456.02,32.04616273528169,116.98797945029212,16.509126188859632,268.17656102751494,2023-07-01,2025-10-06 10:49:52.123,8,8,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0xc345,60015.32,5121.276666666667,7,4,14,7,8,8,10.47,60,1095.15,26.803347048182307,187.0086829541501,63.61684472594013,501.5021389865765,2023-07-01,2025-10-06 10:49:52.123,15,9,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xe60,17340.775,1468.0645833333335,6,212,10,2,10,10,18.07,10,252.17,33.87267647524014,20.39717672193209,176.60395995093845,239.8053216604628,2023-07-01,2025-10-06 10:49:52.123,17,11,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x3bc7,64613.32,5232.443333333334,10,7,33,5,40,18,16.35,140,1522.0,31.744008748084177,235.43878786463864,201.24019452016742,336.5653509485273,2023-07-01,2025-10-06 10:49:52.123,10,11,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x4079,16858.01,1600.8341666666663,9,6,21,3,46,12,12.95,130,2403.74,25.78652441808168,24.93265117854793,51.19932248834946,353.9514429997693,2023-07-01,2025-10-06 10:49:52.123,11,9,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x31bd,56122.68000000001,4751.89,10,8,31,4,34,20,0.0,130,1274.63,37.117299400366825,98.3821735874208,37.625849264120596,579.1809771484587,2023-07-01,2025-10-06 10:49:52.123,15,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x9d7d,29879.43,2450.9525,6,5,10,3,5,19,11.79,80,1286.59,33.06830461628706,66.95682032796773,239.40806052707512,228.73036914495717,2023-07-01,2025-10-06 10:49:52.123,25,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x24e9,120671.25,9851.9375,4,3,3,4,1,9,10.96,30,755.16,34.21772486646337,320.74275568454283,126.4796283397464,777.9713659757108,2023-07-01,2025-10-06 10:49:52.123,16,4,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x4549,79290.96,6646.580000000001,7,6,34,7,19,16,6.04,90,3809.37,27.19100846285302,371.4364338396864,116.22152732512629,417.0000388351875,2023-07-01,2025-10-06 10:49:52.123,9,0,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0x5cc5,72034.86,5780.905,5,6,13,0,19,18,13.76,40,1030.69,39.12159983764881,0.0,203.56673103261681,664.5237689673833,2023-07-01,2025-10-06 10:49:52.123,30,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xc40f,8071.24,493.60333333333335,7,5,21,9,54,24,7.86,120,1311.23,34.498833154358046,45.68156230689439,23.894148674217423,269.7846223522215,2023-07-01,2025-10-06 10:49:52.123,13,2,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x13de,14192.12,1401.676666666667,4,3,19,4,12,8,16.33,80,1483.6,38.4969895116376,45.185191840173566,58.02528806179473,326.95718676469835,2023-07-01,2025-10-06 10:49:52.123,17,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x6148,7295.715,444.9762500000001,3,5,34,1181,12,14,10.0,90,1349.1,23.901353632660488,21.292896101774303,29.211293618931155,283.9934352792945,2023-07-01,2025-10-06 10:49:52.123,10,9,0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xacfc,37424.16,3045.6800000000007,7,5,18,0,15,16,14.64,100,1445.81,33.77178696025094,90.94863058594032,311.87450602536165,191.744863388698,2023-07-01,2025-10-06 10:49:52.123,18,10,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xae6c,8576.98,665.7483333333333,7,9,17,7,45,16,3.15,120,3650.06,39.366509510244974,39.668003886569096,52.19411349160968,254.71271595515458,2023-07-01,2025-10-06 10:49:52.123,4,5,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x4c2b,20945.38,1619.4483333333335,3,5,11,3,18,18,24.25,80,1396.35,31.81685384349955,50.42425161873664,137.94760076569887,263.57298094889785,2023-07-01,2025-10-06 10:49:52.123,15,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x8a78,63010.84,5550.903333333333,1,5,6,1,15,12,8.19,10,180.51,39.66339026957272,34.692736274086435,102.28762836973571,658.1099686895111,2023-07-01,2025-10-06 10:49:52.123,25,11,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0xb239,84907.68,6642.952276514542,3,5,8,3,12,9,1.2000000000000002,40,16.18,40.381235071842006,700.8930942777503,126.5150933648864,666.1435358428209,2023-07-01,2025-10-06 10:49:52.123,26,2,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0xb51a,31137.12,2405.76,6,6,31,8,16,20,20.18,80,2938.55,31.15334630594781,112.96669885479572,57.31715540623106,320.2921457389732,2023-07-01,2025-10-06 10:49:52.123,2,8,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0xf5d,64560.52,5293.043333333333,9,10,19,9,44,15,33.61,100,3342.3,36.56586155903601,447.83415246737326,202.4821350990208,158.98804576693928,2023-07-01,2025-10-06 10:49:52.123,3,10,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x85cb,68475.24,5488.27,7,8,32,5,52,24,3.2,100,4116.64,27.90274597740141,236.00841935933255,378.10494769770753,224.71363294296,2023-07-01,2025-10-06 10:49:52.123,14,4,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x9d36,91490.6,7526.216666666667,5,4,12,4,26,16,12.76,50,1082.08,28.167518892197737,179.67456109535823,314.33404816948683,508.6130574018217,2023-07-01,2025-10-06 10:49:52.123,9,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xa2d2,77818.98,6573.915,5,6,8,4,11,15,13.86,40,1066.38,38.36266831520216,143.18580051827718,293.9339092049869,480.271790276736,2023-07-01,2025-10-06 10:49:52.123,23,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x31b2,79439.56,6444.963333333332,8,6,6,4,8,14,18.77,60,75.76,34.11784006946156,211.57480019090343,90.8638438333488,582.0576893090811,2023-07-01,2025-10-06 10:49:52.123,14,4,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x3b66,80511.84,6542.32,4,7,2,0,8,20,11.11,50,1048.69,27.43331396557927,0.0,144.73836551102968,749.4936344889702,2023-07-01,2025-10-06 10:49:52.123,20,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
CUS_0x7198,30912.38,2613.0316666666668,3,1,7,1,0,2,10.49,0,912.63,32.27822073102016,14.28583455387484,10000.0,398.88388648632014,2023-07-01,2025-10-06 10:49:52.123,21,10,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0xb650,62995.92,5153.66,10,6,32,9,27,15,2.61,7160,2271.74,27.583687510871325,245.21581750479103,286.7502054540953,263.3999770411137,2023-07-01,2025-10-06 10:49:52.123,19,4,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x3da0,59775.24000000001,5259.27,4,6,16,0,30,15,2.69,90,787.76,38.66367294960825,0.0,200.25493100296532,575.6720689970348,2023-07-01,2025-10-06 10:49:52.123,20,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x41d5,17738.09,1384.9517786104834,7,7,21,5,58,19,0.63,80,2288.04,28.55688767274475,207.50253229255895,10000.0,226.18617097945926,2023-07-01,2025-10-06 10:49:52.123,9,4,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x5e2d,20969.505,1622.45875,5,1407,12,4,13,10,7.27,30,868.99,26.106192812029462,57.7092934725809,105.6383863911886,288.8981951362305,2023-07-01,2025-10-06 10:49:52.123,15,11,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xc1cc,102626.97,8733.2475,1,4,2,4,1,4,7.78,40,1179.1,28.63505917715717,223.40820068628773,114.1951453433142,775.7214039703981,2023-07-01,2025-10-06 10:49:52.123,31,3,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x2bf4,42586.46,3710.8716666666655,5,3,6,3,27,7,6.03,20,1053.75,39.12445660704742,64.00895861343731,33.3469132755201,513.7312947777093,2023-07-01,2025-10-06 10:49:52.123,29,11,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
CUS_0xb6bc,58992.92,4986.076666666667,4,6,30,6,9,14,8.39,100,2033.79,37.030307518281774,162.03016532621731,188.60614813118596,397.97135320926355,2023-07-01,2025-10-06 10:49:52.123,7,9,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x6010,146101.28,12012.106666666668,3,4,9,5,19,7,19.13,70,1311.47,32.54864447919149,307.14479792800967,1511.7124362945285,189.4129780541176,2023-07-01,2025-10-06 10:49:52.123,17,9,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xbf8,7946.09,883.1741666666667,7,10,17,5,54,24,7.36,120,1572.64,27.162881162097765,3316.0,43.296373920464504,295.0010996767079,2023-07-01,2025-10-06 10:49:52.123,15,11,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x505c,1.0700217E7,4640.715,8,5,16,3,14,8,19.03,7430,1434.54,37.38948268226327,107.27986995565156,10000.0,316.88479772482987,2023-07-01,2025-10-06 10:49:52.123,6,9,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0xb6d2,8927.89,461.9908333333333,9,9,30,5,17,17,5.7,170,4667.75,32.471098852698766,30.61297277949084,18.061501180120498,287.524609373722,2023-07-01,2025-10-06 10:49:52.123,4,6,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0xccf,49349.64,3987.47,5,477,15,5,15,10,10.3,60,1831.31,24.89102967710796,149.46952920422015,391.78590604515404,147.49156475062594,2023-07-01,2025-10-06 10:49:52.123,18,11,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x3f51,17612.175,1143.2288241346553,6,5,14,4,15,11,12.75,60,1273.32,34.99916206756154,108.26413693592328,79.9307508972063,262.5256630322149,2023-07-01,2025-10-06 10:49:52.123,18,3,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x4519,8631.04,683.2533333333333,8,8,18,8,47,25,21.54,140,4290.31,38.55141805811849,49.24068791457922,37.98203618786073,251.1026092308934,2023-07-01,2025-10-06 10:49:52.123,12,11,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0xb631,121151.4,10239.95,3,4,1,2,10,7,8.84,60,42.69,32.16705678196778,101.40487238963097,311.08322356292905,861.5069040474398,2023-07-01,2025-10-06 10:49:52.123,29,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x6322,7451.97,463.99750000000006,10,6,29,5,49,18,7.41,90,1428.75,28.80722779181968,24.087191263799237,19.319107793050676,292.99345094315015,2023-07-01,2025-10-06 10:49:52.123,11,10,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x8600,20002.88,1929.906666666667,10,8,29,5,33,25,18.31,90,3571.7,37.14078350678023,60.964772373422434,34.66290609052614,337.3629882027182,2023-07-01,2025-10-06 10:49:52.123,6,3,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0x1130,137798.88,10609.791908648782,6,726,13,0,23,12,9.25,20,1056.3,30.0543105570062,988.4480913512176,1156.953782699478,282.87021730052203,2023-07-01,2025-10-06 10:49:52.123,27,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x1ec5,36802.82,2426.5641683461404,4,3,7,1,15,14,6.06,20,190.98,26.6474381489926,379.6830160097123,104.1844002405932,403.0602487368873,2023-07-01,2025-10-06 10:49:52.123,32,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0xa50e,125264.96,10404.746666666668,5,4,3,0,27,8,5.53,20,950.59,31.97515865257891,0.0,623.6064177742554,696.8682488924112,2023-07-01,2025-10-06 10:49:52.123,25,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
