Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x5f89,38963.38,3018.9483333333333,6,7,27,6,55,22,10.25,130,4720.99,30.615860626355875,177.843428575748,75.42865473718412,308.62275002040127,2023-09-01,2025-10-06 10:50:16.125,13,2,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x6277,108457.74,9298.145,6,7,13,4,5,18,8.42,40,640.11,29.81671767420497,238.850443172323,120.5143828182873,820.4496740093898,2023-09-01,2025-10-06 10:50:16.125,15,6,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x56b4,17416.75,1243.3958333333333,5,6,12,4,10,10,10.1,10,505.44,39.496296753119104,36.55918609550557,11.780284168085576,316.0001130697422,2023-09-01,2025-10-06 10:50:16.125,30,9,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x78bf,61796.92,5318.743333333333,9,9,28,9,24,19,0.0,100,3133.49,22.910705694824447,334.4616622240094,328.06800995409225,159.34466115523168,2023-09-01,2025-10-06 10:50:16.125,11,7,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0xb90d,122008.59,10084.3825,2,7,7,0,15,8,8.95,20,432.37,36.70787268857019,0.0,288.6585881158682,969.7796618841319,2023-09-01,2025-10-06 10:50:16.125,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x24f1,17685.79,1186.815833333333,6,9,22,3,24,15,12.98,70,2382.63,32.7435511209693,40.26046357084426,144.7554488897907,223.6656708726984,2023-09-01,2025-10-06 10:50:16.125,13,5,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x4285,19271.95,1536.9958333333334,6,4,9,3,35,9,15.97,20,368.72,25.72746901623275,35.046789084156345,123.98850418113504,264.66429006804196,2023-09-01,2025-10-06 10:50:16.125,32,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x6112,65677.38,5343.115000000002,3,1,4,4,5,8,10.78,30,395.28,36.98203622882063,217.6167116806116,351.01610292408327,255.67868539530525,2023-09-01,2025-10-06 10:50:16.125,26,11,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x5647,79367.94,6535.995,3,4,9,0,6,15,15.33,40,1137.41,35.21972244757285,0.0,529.2222706754749,394.3772293245252,2023-09-01,2025-10-06 10:50:16.125,23,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x6e35,36104.82,3294.735,6,6,16,5,13,17,16.84,90,2219.17,35.62060321339571,103.04479580072363,126.94196796653186,389.48673623274453,2023-09-01,2025-10-06 10:50:16.125,14,8,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x4328,15414.675,1449.55625,5,5,11,0,10,1,8.96,70,508.81,37.18250460719938,0.0,149.51308591652068,285.4425390834793,2023-09-01,2025-10-06 10:50:16.125,23,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x7b2f,16114.17,1160.8475,3,6,13,2,24,15,14.99,110,1246.74,27.88638674054876,25.779887116455583,151.1781713421974,229.12669154134704,2023-09-01,2025-10-06 10:50:16.125,19,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x9b4b,1.7353657E7,1597.4174999999998,0,3,7,1,14,10,5.17,60,116.3,39.41982081672108,11.768268085541944,88.58495795999853,339.3885239544595,2023-09-01,2025-10-06 10:50:16.125,32,3,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x64d4,14730.78,1507.565,5,2,10,0,18,16,5.76,70,655.01,39.595918377102144,0.0,173.46971271827184,267.28678728172815,2023-09-01,2025-10-06 10:50:16.125,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x8957,14154.255,1467.52125,5,7,14,4,23,9,3.9,50,700.09,33.35787422425835,31.19606824759825,83.18689946572971,292.36915728667213,2023-09-01,2025-10-06 10:50:16.125,30,4,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x544a,14007.82,1206.3183333333334,9,6,19,5,45,15,18.9,120,3279.57,38.00333935244828,37.354982292308605,65.49571845446826,297.7811325865565,2023-09-01,2025-10-06 10:50:16.125,13,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0x82cb,104988.04,8711.003333333332,8,7,1,0,27,17,16.03,30,87.85,33.34449804575472,0.0,240.7228729884386,880.3774603448945,2023-09-01,2025-10-06 10:50:16.125,17,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x9e1a,16792.325,1292.3604166666669,1,4,5,3,6,0,3.33,50,161.57,38.40118271605802,29.14796235594895,39.71682526913569,310.371254041582,2023-09-01,2025-10-06 10:50:16.125,28,3,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
