Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x5c94,20734.16,1984.8466666666664,7,5,19,1,25,13,10.51,50,1344.19,39.92338454511428,12.653109467827043,104.88424454964563,360.94731264919403,2023-10-01,2025-10-06 10:50:25.824,23,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x1100,43062.54,3607.545,6,10,23,2,55,20,19.05,130,2169.75,30.04262296575237,47.499818741612366,71.94658528758634,491.30809597080133,2023-10-01,2025-10-06 10:50:25.824,15,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x272c,12585.205,919.7670833333334,8,6,18,3,21,18,12.33,130,1259.3,35.11590601526444,24.40861896692875,53.87624398270618,309.33022609591205,2023-10-01,2025-10-06 10:50:25.824,14,3,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x53f9,38149.09,3121.090833333333,1,3,8,3,12,7,6.72,23280,821.91,27.39450445612257,90.32160297711032,300.89862212061223,210.8888582356108,2023-10-01,2025-10-06 10:50:25.824,19,11,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x749e,76230.76,6001.309343328458,6,10,31,3,35,16,18.93,140,1961.73,28.36663994299079,327.91524655418704,53.257460600571406,633.0376161834503,2023-10-01,2025-10-06 10:50:25.824,20,6,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x8b91,16481.715,1537.47625,7,3,15,6,13,8,16.59,80,145.32,33.80127666058158,66.6812219426157,79.50862566484736,277.5577773925369,2023-10-01,2025-10-06 10:50:25.824,9,11,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x7703,17129.91,1335.4925,5,1,5,3,11,7,9.36,60,1307.4,32.24769998853001,30.152860780254144,64.31665525386582,329.07973396588005,2023-10-01,2025-10-06 10:50:25.824,26,10,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xa335,66105.4,5653.783333333333,6,8,31,5,26,22,5.52,120,1549.56,24.714191993868127,214.07212305606225,274.572674146153,474.07649728114126,2023-10-01,2025-10-06 10:50:25.824,11,9,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0x16a5,10027.07,896.5891666666665,8,5,9,3,9,17,1.77,50,168.72,23.312242334320512,73384.0,32.743223333030315,323.5543351811241,2023-10-01,2025-10-06 10:50:25.824,21,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x5357,13961.155,1322.4295833333333,6,3,20,4,15,17,3.73,0,1406.02,23.458458077626943,40.17141518726413,159.470230945294,222.60131220077525,2023-10-01,2025-10-06 10:50:25.824,28,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x5e3b,60263.43000000001,5242.9525,1662,5,20,5,42,25,17.71,140,1400.16,25.69386881069035,178.7366155336915,127.9212185929034,457.63741587340513,2023-10-01,2025-10-06 10:50:25.824,10,4,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x65c5,160057.96,13417.163333333332,4,4,1,1,4,1154,1.78,70,322.27,33.88289478676084,80.66890710005656,292.2079410557796,1208.8394851774976,2023-10-01,2025-10-06 10:50:25.824,26,6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0xb7bb,118717.64,9885.136666666667,3,5,10,2,30,17,8.219999999999999,120,718.0,39.149476691485305,141.09080021656413,720.2494061934437,397.17346025665876,2023-10-01,2025-10-06 10:50:25.824,26,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x1f24,8938.07,678.8391666666666,6,9,34,7,59,25,27.81,130,4343.23,34.286043676796204,33.67769685087954,59.84075372890538,264.36546608688167,2023-10-01,2025-10-06 10:50:25.824,2,10,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x5793,20513.23,1508.4358333333332,6,9,22,2,43,17,17.5,60,1653.86,39.778352449964686,32.57754580216752,75.42823669073692,332.8378008404289,2023-10-01,2025-10-06 10:50:25.824,15,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xb76f,39513.84,2993.82,4,2,11,3,9,8,9.63,20,1029.0,29.292544792126463,89.80089295649952,277.1373752508975,410.4349029379792,2023-10-01,2025-10-06 10:50:25.824,28,10,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x3d60,40289.79,3073.4825,5,6,10,2,10,8,0.89,30,1073.74,36.46549173217888,38.97639028622972,10000.0,374.9843353161296,2023-10-01,2025-10-06 10:50:25.824,16,5,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0xb443,147819.96,12452.33,3,5,15,2,13,15,9.68,40,1205.02,27.19304183550715,224.6314160376116,1266.8778960250274,33.72368793736098,2023-10-01,2025-10-06 10:50:25.824,27,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x305e,34849.62,3202.135,3,5,2,2,10,4,10.76,80,1181.0,25.9739488353567,53.7435865621091,59.64475164445474,446.8251617934362,2023-10-01,2025-10-06 10:50:25.824,28,2,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x76a9,61350.48,4998.54,6,9,28,7,27,19,17.48,140,3965.41,33.985102830701855,322.52933326731085,283.07019786376867,164.25446886892047,2023-10-01,2025-10-06 10:50:25.824,6,8,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0xbb0b,44985.72,3791.81,6,4,15,4,23,18,13.76,90,378.94,34.56485473327657,118.16421344881972,218.51899159895328,302.49779495222697,2023-10-01,2025-10-06 10:50:25.824,16,11,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0xbc51,32881.92,2733.16,4,7,10,2,11,1,4.6,0,479.81,28.371832142965427,33.24319985606321,10000.0,394.41517027683767,2023-10-01,2025-10-06 10:50:25.824,19,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xbd8c,27987.5,2421.2916666666665,8,4,3433,2,24,19,10.98,40,1142.21,24.67232230036881,39.600997749244605,270.82285985216447,221.7053090652576,2023-10-01,2025-10-06 10:50:25.824,20,3,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x49d5,51162.84,4249.57,7,10,34,5,51,19,18.23,90,1921.03,37.27045132186118,178.78342354875468,169.01743483952782,337.1561416117175,2023-10-01,2025-10-06 10:50:25.824,10,8,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0xb9e5,8681.77,647.4808333333334,6,9,23,7,47,21,19.6,170,2216.25,36.73937584172032,28.44218887394765,57.741131628175275,258.56476283121043,2023-10-01,2025-10-06 10:50:25.824,14,11,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
