Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x575b,77108.98,6528.748333333332,5,2,8,3,6,9,8.6,10,482.99,31.23923606886891,68825.0,44.67585302554534,745.8422072357132,2023-11-01,2025-10-06 10:50:35.809,17,11,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0xb9d,51506.55,4051.2125,4,6,279,4,18,14,13.4,40,2681.39,27.914195157626036,160.9924107886305,131.11528857709365,261.27679678232937,2023-11-01,2025-10-06 10:50:35.809,8,10,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x6992,79783.6,6426.633333333334,5,4,15,3,25,9,15.6,100,225.23,25.13638957493897,131.65952606646786,114.5197878677855,636.4840193990801,2023-11-01,2025-10-06 10:50:35.809,31,6,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xa618,118988.19,9680.6825,5,3,3,3,5,9,4.26,10,707.24,24.49299203723757,198.14710996805783,1153.817917659431,536.8773927827032,2023-11-01,2025-10-06 10:50:35.809,31,8,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xb49,43849.26,3757.105,3,1,1,2,8,9,2.47,40,506.71,34.20010580118294,65.00920084099373,127.01182706153116,433.6894720974751,2023-11-01,2025-10-06 10:50:35.809,28,8,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x5e02,21156.88,1643.0733333333335,5,6,13,0,27,7,14.12,50,386.38,28.784290199483763,0.0,87.86265498377684,336.4446783495565,2023-11-01,2025-10-06 10:50:35.809,16,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x7b5a,78133.6,6636.133333333334,5,7,17,0,7,8,12.88,60,1055.06,41.09849800566701,172.48911225898485,83.95356917341138,647.1706519009373,2023-11-01,2025-10-06 10:50:35.809,14,9,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xabd,129569.52,10831.46,8,7,18,4,5,11,17.76,70,641.47,35.106679999409465,383.1808701383734,10000.0,815.5956059813808,2023-11-01,2025-10-06 10:50:35.809,9,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xf3e,9846.55,698.5458333333332,5,6,16,1,10,10,13.14,80,550.52,34.473358710721264,5.218466358633885,60.079978023314005,294.55613895138544,2023-11-01,2025-10-06 10:50:35.809,18,9,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x11a4,44295.54,3677.295,8,6,30,2,38,21,8.96,80,1280.42,37.28447193197264,65.57597408241918,74.61308704536044,477.54043887222036,2023-11-01,2025-10-06 10:50:35.809,12,9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
