Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x29cd,17818.53,1354.1421030584586,5,6,11,2,7,6,8.6,50,1452.64,28.742437077081,103.29708940059862,109.52073958014844,297.0053179607941,2023-12-01,2025-10-06 10:50:45.508,24,6,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x30ae,40512.0,3091.0,8,8,15,9,29,20,22.04,100,3971.97,34.88176273287857,169.48650071860033,118.42362735020949,311.1898719311903,2023-12-01,2025-10-06 10:50:45.508,13,10,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x5f34,125385.88,10720.823333333334,2,5,5,4,15,4,6.3599999999999985,50,1268.57,31.93902608124641,364.3603101561969,422.2093596962079,535.5126634809286,2023-12-01,2025-10-06 10:50:45.508,25,2,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x6a11,33352.41,2671.207497770301,6,4,10,2,13,22,17.68,50,1422.2,32.42260514819458,175.7010567578088,46.770510488848764,449.9251849830417,2023-12-01,2025-10-06 10:50:45.508,18,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x1355,9474.16,745.5133333333333,7,6,30,2,58,15,17.57,90,2370.05,35.142277791467826,15.00342697932101,37.512947678492544,302.03495867551976,2023-12-01,2025-10-06 10:50:45.508,9,11,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x33d6,17599.48,1202.6233333333332,2,6,6,1412,12,1,0.0,0,1426.15,36.28167079934264,13.08069087982678,77.0585657554726,290.12307669803397,2023-12-01,2025-10-06 10:50:45.508,19,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x5629,33465.57,2820.7975,0,5,10,2,11,2,4.62,10,531.91,39.24389054763851,40.22460348863007,53.913863322682325,447.9412831886876,2023-12-01,2025-10-06 10:50:45.508,31,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x837,14252.75,1434.729166666667,8,8,22,6,51,25,0.0,130,2649.82,24.616604814488035,62.90124481687398,109.2192352432628,261.35243660652986,2023-12-01,2025-10-06 10:50:45.508,7,6,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0x9c34,17680.79,1329.3991666666668,9,7,23,5,38,24,26.7,110,4894.42,27.934988322660278,71.47433778123587,93.8582307036864,257.60734818174444,2023-12-01,2025-10-06 10:50:45.508,7,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x279c,86911.16,7303.596666666667,7,3,8,1,27,19,15.42,120,174.9,30.12709186322464,49.42789468985477,10000.0,359.6997793187325,2023-12-01,2025-10-06 10:50:45.508,15,9,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
