Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x7307,17157.47,1656.789166666667,10,7,22,6,49,18,23.79,110,3743.28,36.8148807890816,44.451574654189656,83.45169894363114,297.77564306884585,2024-01-01,2025-10-06 10:50:55.337,11,3,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x9382,9857.68,1041.4733333333334,8,8,30,8,20,20,17.32,130,3017.34,31.238905074562,34.063934650342865,50.15384225599015,299.9295564270003,2024-01-01,2025-10-06 10:50:55.337,8,6,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x211a,56192.32,4676.693333333334,10,6,21,8,44,21,14.07,70,3777.1,25.79379550842012,282.1903992253431,167.48627556815208,277.9926585398382,2024-01-01,2025-10-06 10:50:55.337,11,6,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x2ff7,26405.15,1911.4291666666668,5,7,8,4,13,21,10.08,40,873.11,27.94291545560455,59.72156372314648,109.72708255146941,311.69427039205084,2024-01-01,2025-10-06 10:50:55.337,16,11,1,0,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xc4c9,16568.425,1550.7020833333331,5,1358,18,1,16,8,3.56,50,478.11,22.28596810647911,8.47408555938318,143.74308324281384,292.85303953113635,2024-01-01,2025-10-06 10:50:55.337,29,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xc53f,12705.77,1159.8141666666668,6,6,17,2,27,10,2.89,50,314.58,27.456868561158768,14.58771652898568,101.4159150892449,271.62681258942007,2024-01-01,2025-10-06 10:50:55.337,22,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x406,122942.28,10205.19,2,3,3,1,8,4,4.88,40,924.1,32.403388221707765,101.56797654898996,821.8076237013545,377.14339974965566,2024-01-01,2025-10-06 10:50:55.337,28,8,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x4437,46003.29,3859.6075,8,6,34,6,17,16,18.37,120,2681.08,30.207791610658717,142.4531100539671,229.4052042382673,304.1024357077657,2024-01-01,2025-10-06 10:50:55.337,4,10,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x4696,46783.08,4058.59,3,7,20,7,22,10,8.04,90,1558.33,33.363315832880694,236.3197006260011,497.1177698877305,275.3164140088892,2024-01-01,2025-10-06 10:50:55.337,13,10,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x5ab,40216.62,3176.323732156787,0,5,10,2,8,7,8.02,50,323.03,25.18265204614284,12039.0,251.01156614838774,338.3614610197264,2024-01-01,2025-10-06 10:50:55.337,27,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
