Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x1ef9,150256.72,12641.393333333332,1,6,1,0,13,1,2.69,20,1488.34,38.83133470569511,0.0,1181.26551084451,372.87382248882363,2024-02-01,2025-10-06 10:51:05.346,16,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x4f52,11126.925,1000.9630497410318,7,6,12,1,10,14,8.95,10,381.82,35.60586356085938,56.20942055854118,30.766468787102745,346.22918591332433,2024-02-01,2025-10-06 10:51:05.346,32,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x8e3,39460.01,3030.334166666667,2,6,2431,4,10,7,1.5,70,1180.08,33.244444627927145,82.45141960261901,23.328604666879357,437.25339239716834,2024-02-01,2025-10-06 10:51:05.346,30,2,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x3257,78595.6,6642.633333333334,9,7,17,6,30,17,11.4,90,1421.43,34.47287751831513,366.9658732692656,604.492249522022,287.53358143471576,2024-02-01,2025-10-06 10:51:05.346,12,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x3279,18762.55,1710.5458333333331,8,6,24,6,35,23,22.51,140,3916.73,24.597244453352488,54.05721079817104,40.886969818234476,336.1104027169278,2024-02-01,2025-10-06 10:51:05.346,2,3,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x7231,61923.66,5245.305,9,9,29,2,62,20,8.03,150,2277.1,26.51510383487601,53.17181691776678,177.60680157753288,543.7518815047005,2024-02-01,2025-10-06 10:51:05.346,7,4,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x9e41,18417.19,1754.7658333333331,9,10,5615,5,50,17,18.24,130,4682.62,25.822683344125124,53.69033545455992,96.03638575971534,295.7498621190581,2024-02-01,2025-10-06 10:51:05.346,6,3,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0xec4,38041.56,2972.13,5,1108,10,3,9,3,10.97,40,682.46,34.72187218472566,78.74374981190559,158.06268208611263,350.40656810198175,2024-02-01,2025-10-06 10:51:05.346,32,11,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x237d,31632.32,2421.026666666666,2,3,9,3,1,9,3.7,60,73.75,25.962302985149307,59.02287401364738,75.22644265331256,357.85334999970667,2024-02-01,2025-10-06 10:51:05.346,32,10,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x4038,37807.28,2933.606666666666,1,2,4,2,5,7,2.05,30,108.85,24.956378713600444,62.47570431841321,143.80538383492149,347.07957851333197,2024-02-01,2025-10-06 10:51:05.346,20,8,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x5db2,9400.43,847.3691666666667,7,8,22,5,32,17,28.9,160,4505.63,36.605756003221,30.33870136336024,80.14945156155541,254.24876374175102,2024-02-01,2025-10-06 10:51:05.346,7,4,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0xb303,7169.585,867.4654166666667,8,7,33,5,21,16,19.18,70,1552.66,38.93306177503332,18.76056409040556,23.74628365643368,294.2396939198274,2024-02-01,2025-10-06 10:51:05.346,12,5,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xc247,11968.51,1254.3758333333335,3,4,16,2,20,18,10.95,0,685.74,36.65202731047517,18.074485052910767,22.430682931421188,324.9324153490014,2024-02-01,2025-10-06 10:51:05.346,25,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x28a4,104075.52,8745.96,3,5,7,1,12,16,8.45,90,1371.49,36.820360952975314,73.11669737642082,587.2816387661613,474.19766385741775,2024-02-01,2025-10-06 10:51:05.346,20,6,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x9ae6,14293.11,1112.0925,6,9,24,6,59,21,20.61,100,3491.37,37.66520442485425,46.06385912955504,61.55270746560046,263.59268340484454,2024-02-01,2025-10-06 10:51:05.346,13,3,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0x684c,33238.98,2485.9150000000004,7,8,27,2,41,18,4.84,150,1712.72,29.282040089352567,54.70127740849407,268.16881448518586,215.72140810632013,2024-02-01,2025-10-06 10:51:05.346,14,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x3313,34773.31,2878.775833333333,1,5,6,2,2,0,1.17,40,82.07,29.96062576815646,52.23056183317051,105.89418526072348,379.7528362394394,2024-02-01,2025-10-06 10:51:05.346,23,6,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x333f,26030.03,2146.1691666666666,4,3,13,3,6,20,11.7,4210,595.44,24.325664535888187,38.324538847109,201.79462809736282,264.4977497221949,2024-02-01,2025-10-06 10:51:05.346,30,9,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x4d19,7448.78,795.7316666666667,3,7,16,0,19,17,12.81,150,1362.72,27.82010055668975,8.593567256269756,24.82808586497281,326.1515135454241,2024-02-01,2025-10-06 10:51:05.346,20,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
