Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x29ab,20498.12,1559.1766666666665,7,6,32,2,18,15,10.58,110,1473.64,31.474754723004523,31.917446582675197,131.78635603518623,282.21386404880525,2024-03-01,2025-10-06 10:51:16.241,19,9,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x2d9a,34620.62,2588.0516666666667,3,5,25,2,5,17,11.23,90,1690.69,38.199188524882615,41.9647026055557,10000.0,309.2389990188851,2024-03-01,2025-10-06 10:51:16.241,15,10,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x4d2e,98887.41,8176.6175,0,5,1,1,13,2,2.16,50,1496.8,36.732685566194455,67.18817914523072,134.12622403980214,856.3473468149672,2024-03-01,2025-10-06 10:51:16.241,22,9,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x5c92,19681.08,1454.09,4,4,16,3,16,8,10.41,10,1122.31,27.72035105582218,33.870708472450204,142.6165641138773,258.9217274136725,2024-03-01,2025-10-06 10:51:16.241,18,11,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x84a2,15656.82,1557.735,8,10,18,6,32,16,0.88,140,1997.18,29.91640763246859,51546.0,10000.0,243.9335011293956,2024-03-01,2025-10-06 10:51:16.241,14,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0xb60f,119877.15,9942.7625,0,5,10,3,12,3,4.69,40,152.07,39.49153175424277,239.7093039270492,388.6556088335869,625.911337239364,2024-03-01,2025-10-06 10:51:16.241,16,11,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x5a59,17347.04,1285.5866666666668,6,8,15,5,16,9,4.619999999999999,80,2674.44,33.58079785020906,38.51620310672261,134.34708788685444,245.6953756730896,2024-03-01,2025-10-06 10:51:16.241,13,6,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x60ad,92949.78,7774.815,0,5,10,4,12,13,13.88,30,1037.46,41.83754055482913,197.3048886419928,10000.0,537.3424873163199,2024-03-01,2025-10-06 10:51:16.241,25,4,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x6c67,19071.34,1690.2589361064286,8,5,17,2,30,19,10.17,40,118.72,27.800174754103303,203.67156017053108,192.98530385392402,249.29036653578305,2024-03-01,2025-10-06 10:51:16.241,31,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x833d,15528.29,1340.0241666666668,7,8,21,7,19,14,8.69,100,3025.44,29.40412046698872,66.42616279579548,10000.0,280.4831676127481,2024-03-01,2025-10-06 10:51:16.241,7,8,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
