Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x2484,29625.82,2559.818333333333,3,4,11,4,27,19,17.74,40,1042.61,33.741704761247284,92.11623115792368,180.43221474118687,273.43338743422265,2024-04-01,2025-10-06 10:51:26.791,7,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x7879,91965.39,7877.7825,4,2,7,3,0,0,2.11,50,188.21,31.31584043558217,210.9546515462873,169.12545623810595,657.6981422156068,2024-04-01,2025-10-06 10:51:26.791,27,4,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x7993,61695.68,5230.306666666666,1,4,2,3,0,0,5.77,80,654.6,32.24111735046547,101.18262565181712,93.60248954162395,568.2455514732255,2024-04-01,2025-10-06 10:51:26.791,33,6,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x8fb8,9916.865,1073.4054166666665,8,7,34,4,19,25,2.98,80,1968.73,25.07923610746913,18.53067554558929,58.814785093065,319.9950810280124,2024-04-01,2025-10-06 10:51:26.791,6,5,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0xa22b,88062.28,7411.523333333333,4,3,1,0,4,0,16.35,0,404.44,35.27392530659222,0.0,159.88158533695082,821.2707479963826,2024-04-01,2025-10-06 10:51:26.791,32,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x3821,16365.59,1089.799166666667,7,7,12,4,13,21,15.47,10,875.32,24.73607896117894,31.374255987550267,27.67703182705935,309.9286288520571,2024-04-01,2025-10-06 10:51:26.791,18,8,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x75e3,14147.38,1091.9483333333333,7,1242,30,0,60,17,7.54,120,2684.85,25.54134469773552,25.78757345986844,146.4674643170048,226.93979555646007,2024-04-01,2025-10-06 10:51:26.791,19,11,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xa3df,33669.54,2341.1142527859306,5,6,3,2,13,4,8.14,80,741.68,37.30766697984321,284.7177242125605,344.382570455148,148.7599525463608,2024-04-01,2025-10-06 10:51:26.791,27,8,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x2ced,10987.935,1103.66125,4,4,3,4,9,8,9.68,60,1384.32,23.230006719491247,51846.0,60.05480201783102,315.15403666381474,2024-04-01,2025-10-06 10:51:26.791,32,2,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x7284,16242.68,1539.5566666666666,10,10,28,2,62,14,9.52,120,1382.53,34.32083539992516,24.682684659920834,62.92813677047682,326.344845236269,2024-04-01,2025-10-06 10:51:26.791,6,8,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0xadeb,41417.04,3439.42,7,5,18,4,18,18,7.13,60,1486.49,34.57295079737432,122.50388352856292,229.55239005984424,251.88572641159286,2024-04-01,2025-10-06 10:51:26.791,14,9,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0xb09,146310.68,12124.556666666664,5,4,9,1,3,5,11.48,60,928.28,31.69506449588186,72.2501245772269,283.31399544329355,1096.891546646146,2024-04-01,2025-10-06 10:51:26.791,22,8,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
