Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x386c,88827.66,7456.305,3,1,4,0,0,8,11.16,0,1061.08,41.35302058025285,0.0,10000.0,902.2742291634028,2024-05-01,2025-10-06 10:51:36.43,15,11,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x61e0,100697.64,8649.47,8,7,16,1,9,13,19.19,60,1115.0,35.22761000666068,81935.0,574.2273065869582,482.2990056423152,2024-05-01,2025-10-06 10:51:36.43,21,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0xa7d5,16595.94,1175.995,7,5,27,4,29,15,18.35,60,1747.16,28.56723331585673,40.69342045804145,81.28054358970799,275.6255359522506,2024-05-01,2025-10-06 10:51:36.43,7,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0xba51,170751.96,14415.33,3,4,6,4,14,0,7.7799999999999985,70,1076.56,32.59321805960193,443.1054535943721,119.04221646469894,1119.385329940929,2024-05-01,2025-10-06 10:51:36.43,32,11,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x9117,34493.58,2997.465,1,5,6,0,14,12,4.92,0,953.17,39.03369563247158,0.0,118.16963033873905,441.5768696612609,2024-05-01,2025-10-06 10:51:36.43,32,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0xb2bd,35566.44,3239.870000000001,6,8,32,6,20,11,10.59,120,2203.49,33.057230246159754,171.59050838028304,237.26196427135108,195.13452734836596,2024-05-01,2025-10-06 10:51:36.43,8,4,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0xb89c,11919.42,1088.285,4,7,4,1,11,20,8.19,70,1073.98,25.80420659862309,9.882767305565991,76.18044391566313,312.76528877877087,2024-05-01,2025-10-06 10:51:36.43,17,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x4425,59788.89,5053.4075,9,9,20,7,41,25,18.13,100,3547.66,36.432540419418565,188.57871324909755,274.1835571537102,332.57847959719237,2024-05-01,2025-10-06 10:51:36.43,7,5,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0xb19f,8884.825,869.4020833333334,3,5,9,3,14,10,8.71,110,446.31,36.44150549800441,20.760362400003125,59.65815871287254,286.5216872204577,2024-05-01,2025-10-06 10:51:36.43,15,10,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x6ba7,27223.1,2363.5916666666667,8,6,7,0,21,18,3.81,60,1373.38,33.704338444071354,0.0,22.71440807105463,453.64475859561213,2024-05-01,2025-10-06 10:51:36.43,16,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x32a9,37679.19,3348.932500000001,1,2,12,1,5,10,1.5099999999999998,10,771.0,39.96058564485414,18.552219155468364,41.675358381698494,514.6656724628332,2024-05-01,2025-10-06 10:51:36.43,22,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x679e,29258.69,2737.2241666666664,7,7,12,7,27,9,8.37,90,1285.35,39.65633934461783,164.08147131066943,44.61834738341399,315.02259797258324,2024-05-01,2025-10-06 10:51:36.43,13,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xaf1e,26420.21,2462.6841666666664,8,3,11,1,26,15,5.09,10,289.24,28.78023476014739,14.364049176623592,90.33698342895549,431.56738406108764,2024-05-01,2025-10-06 10:51:36.43,33,8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xc7b,26135.86,2009.9883333333328,8,5,6,0,17,8,11.62,20,1233.42,28.07254618793568,33.711655740499914,223.7570319110228,233.5301456818106,2024-05-01,2025-10-06 10:51:36.43,27,4,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xac0c,63876.28,5325.0233333333335,6,5,27,5,35,23,17.51,160,3886.33,34.792819581401055,160.20431954657408,241.73299590885068,400.56501787790864,2024-05-01,2025-10-06 10:51:36.43,1,3,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x6e7,95745.88,7799.823333333334,7,6,18,3,15,13,10.17,80,738.41,35.024227138910014,142.28077091909554,497.30871765610664,410.39284475813133,2024-05-01,2025-10-06 10:51:36.43,21,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0xaec2,17445.15,1239.5357096248335,7,9,26,3,44,10,19.76,120,2362.17,24.67002176414929,86.35931776778169,33.45101361334869,333.8927089940362,2024-05-01,2025-10-06 10:51:36.43,18,6,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x907d,29085.38,2200.7816666666668,3,5,16,4,30,12,15.71,40,328.7,27.39801903072754,88.0186284700699,203.91956697239732,218.13997122419946,2024-05-01,2025-10-06 10:51:36.43,25,2,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x1cb8,53003.18,4275.931666666666,6,6,6,4,16,15,2.84,40,1387.17,29.259960217438817,175.35445533670952,82.22125251078627,410.0174588191708,2024-05-01,2025-10-06 10:51:36.43,29,5,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x9346,93622.5,7975.875,3,7,2,0,4,2,6.99,40,142.09,41.297729967353774,0.0,745.1769704709512,977.1839241791677,2024-05-01,2025-10-06 10:51:36.43,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0xa690,19852.32,1413.36,7,8,29,6,40,15,1.98,80,2625.27,34.77758255427813,52.93074342971981,185.1004308994456,193.3048256708346,2024-05-01,2025-10-06 10:51:36.43,16,4,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x3678,15984.15,1303.0125,5,7,34,7,25,14,15.77,110,1412.45,36.11814841468309,69.52726572195733,110.32498777596943,240.4489965020733,2024-05-01,2025-10-06 10:51:36.43,7,5,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x3cb6,107275.71,9188.6425,6,7,6,0,19,10,14.28,50,174.76,38.24964547021352,0.0,255.03963279106145,933.8246172089388,2024-05-01,2025-10-06 10:51:36.43,17,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
CUS_0x94bc,103345.12,7880.753238618135,3,6,14,5,17,12,12.52,60,100.7,23.387886720590465,817.9870256960498,808.6339871960478,13.828415156433266,2024-05-01,2025-10-06 10:51:36.43,6,9,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0xb46f,14930.95,969.2458333333334,3,4,3,4,12,8,10.49,50,1326.75,33.465729519535124,25.21902008763336,97.98190940262722,253.7236538430728,2024-05-01,2025-10-06 10:51:36.43,17,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0xbe49,35615.68,2677.973333333333,2,3,8,0,28,7,5.05,50,1448.89,23.98761428179405,0.0,105.01770604510841,422.77962728822496,2024-05-01,2025-10-06 10:51:36.43,29,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0xc6bb,60889.08,4859.09,10,6,21,9,44,23,27.19,100,4198.06,37.34244091277768,336.8419981494883,195.5909628258609,203.47603902465082,2024-05-01,2025-10-06 10:51:36.43,10,9,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0x31e0,131908.24,11162.353333333333,4,4,20,0,22,12,6.72,40,344.86,45.21627626212816,0.0,215.87156099882398,1140.3637723345093,2024-05-01,2025-10-06 10:51:36.43,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xb52b,20290.79,1477.2195384325278,6,8,23,5,39,23,17.81,100,2727.69,28.750565750855465,235.05439145343,106.88834651484613,252.52680693252967,2024-05-01,2025-10-06 10:51:36.43,11,10,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0x1b55,67672.4,5878.366666666666,8,1029,27,5,32,24,0.5,100,1826.19,34.69234172303808,233.30062425741264,442.5540329040722,181.9820095051817,2024-05-01,2025-10-06 10:51:36.43,16,4,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x55d3,18474.665,1623.5554166666668,6,4,8,4,28,8,17.81,50,1070.85,31.696418626240863,41.77876669551781,152.1723408720496,258.40443409909926,2024-05-01,2025-10-06 10:51:36.43,27,3,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
