Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x4bdc,35007.33,3158.2775,5,2,2,0,1,7,2.12,60,733.96,29.00628126985785,0.0,61.63044754661872,459.30862104469225,2024-06-01,2025-10-06 10:51:47.57,32,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x5e16,34531.8,3077.65,1,5,4,1,11,1,7.72,40,411.02,29.91203492352713,26.87331754578125,144.95762116601506,415.9340612882037,2024-06-01,2025-10-06 10:51:47.57,33,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x9de1,39849.72,3334.81,9,8,26,4,36,22,9.12,140,2533.64,29.49009788141527,96.60403454470982,98.50915342572935,388.36781202956075,2024-06-01,2025-10-06 10:51:47.57,6,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x2dd2,73542.28,5907.5233333333335,0,3,5,0,13,2,10.15,30,834.87,39.513596189470746,0.0,81.044820808647,759.7075125246863,2024-06-01,2025-10-06 10:51:47.57,18,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0xad2c,40667.32,3398.943333333333,8,6,34,5,45,20,17.58,130,4582.68,37.15050736454913,126.66839488038808,427.47994719201563,75.74599126092966,2024-06-01,2025-10-06 10:51:47.57,3,10,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x5be5,150339.96,12614.33,1,2,3030,3,2,2239,5.61,30,674.6,40.814671554559176,219.48129499072652,1020.3408384478868,301.6108665613866,2024-06-01,2025-10-06 10:51:47.57,22,11,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0x6678,109122.21,8895.5175,3,6,3,3,12,12,7.32,30,1189.51,40.09193365100063,199.7216097136513,449.67264422569536,510.1574960606532,2024-06-01,2025-10-06 10:51:47.57,28,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0x3f75,28105.59,2133.1325,1,3,1,3,8,8,6.44,60,151.29,26.62257130287009,54.99993830630629,30.965442312234828,377.3478693814589,2024-06-01,2025-10-06 10:51:47.57,20,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x16c4,8473.795,512.1495833333332,4,7,7,0,20,14,12.78,100,1040.14,35.327899012644245,16.79884713235609,25.57495899263232,298.84115220834485,2024-06-01,2025-10-06 10:51:47.57,17,9,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x3439,29112.32,2333.026666666666,2,1,6,2,4,4,2.87,40,1263.31,41.191180081866655,28.037409483288823,130.1566755814151,335.10858160196284,2024-06-01,2025-10-06 10:51:47.57,21,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
