Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x37e6,25846.78,1909.898333333333,7,3,16,4,11,12,11.92,10,1.23,32.2431491565881,85.27657308240245,33.63162279459721,322.0816374563336,2024-07-01,2025-10-06 10:51:58.104,24,6,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x3ae7,41702.9,3249.241666666667,7,8,27,6,45,20,6.31,100,2334.29,35.039439386970145,145.6395523263464,178.8061609479517,260.4784533923686,2024-07-01,2025-10-06 10:51:58.104,8,4,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
CUS_0xc050,20235.8,1699.3166666666666,8,7,7,2,20,15,4.74,60,856.73,24.84726839154171,28.317032541678863,108.50142781847954,293.11320630650835,2024-07-01,2025-10-06 10:51:58.104,18,11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x3124,43502.68,3733.223333333333,0,7,6,1,15,5,4.93,30,862.14,23.584333662652305,32.03232756170208,439.4001346303508,191.8898711412805,2024-07-01,2025-10-06 10:51:58.104,26,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x9c3c,85543.0,6829.583333333332,5,8,2,4,8,8,8.44,30,1070.94,40.05426176074185,269.23904044195933,107.8345666312262,545.8847262601479,2024-07-01,2025-10-06 10:51:58.104,28,11,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
CUS_0xb6b9,122050.38,10173.865,3,2,8,4,15,5,10.66,50,490.86,34.42004357092308,336.37541623969247,256.6588190504856,684.3522647098222,2024-07-01,2025-10-06 10:51:58.104,22,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x251e,32504.22,2643.685,4,7,3,0,15,9,7.1,50,315.39,40.50961424728461,19.042218115289067,51.459359146626475,443.8669227380845,2024-07-01,2025-10-06 10:51:58.104,26,6,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x4213,28496.3,2357.6916666666666,7,10,21,2,15,18,3.06,120,1513.71,32.60520806631982,45.5651069881152,213.82916597911847,246.37489369943302,2024-07-01,2025-10-06 10:51:58.104,20,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0x77b7,15120.0,1447.0,7,7,32,7,58,3865,5.61,130,2981.88,36.95178256669384,58.56632826752824,98.73275307453925,257.40091865793255,2024-07-01,2025-10-06 10:51:58.104,2,4,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x5487,14632.3,996.3583333333332,1,3,11,2,9,11,11.25,10,1373.01,40.27672375116809,15.87191512105401,59.108477786156904,294.65544042612237,2024-07-01,2025-10-06 10:51:58.104,22,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0x61c6,125456.44,10544.703333333331,5,6,5,2,28,12,18.04,40,558.93,40.40234962097289,188.27168362422816,837.3632525274861,308.8353971816191,2024-07-01,2025-10-06 10:51:58.104,32,6,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x7943,59044.74000000001,4875.395,8,9,33,9,39,23,15.09,170,3605.28,30.12710788155391,321.25438382484003,121.2956907245252,294.9894254506349,2024-07-01,2025-10-06 10:51:58.104,13,9,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0x6225,144342.52,12119.543333333331,0,1,12,1,6,10,10.61,10,1123.41,37.31951402170904,104.57986855439886,177.95981290940293,1169.4146518695316,2024-07-01,2025-10-06 10:51:58.104,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x9cc2,48755.5,3801.958333333334,5,6,1,2,24,13,8.46,30,918.88,32.867234504277846,76.71479236853966,10000.0,449.912957122468,2024-07-01,2025-10-06 10:51:58.104,21,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x786e,178053.4,15066.783333333333,0,3,12,0,0,12,3.3599999999999994,40,218.43,33.57558593749149,304.990327759835,10000.0,1016.0058143652903,2024-07-01,2025-10-06 10:51:58.104,20,3,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0xaba3,20558.68,1899.223333333333,10,7,25,5,23,15,10.25,120,2079.91,27.14851877053768,85.08651720386409,49.6947288227872,305.14108730668204,2024-07-01,2025-10-06 10:51:58.104,16,4,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0x30de,15475.27,1264.6058333333333,6,6,28,6,39,16,21.33,60,4683.73,31.35834878740377,42.08797369093296,83.29089571795946,291.08171392444086,2024-07-01,2025-10-06 10:51:58.104,14,3,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x8b7a,8928.69,601.0575,9,10,16,5,49,15,18.46,100,1506.12,33.629450717852194,27.305595281191767,44.587113905290664,268.21304081351764,2024-07-01,2025-10-06 10:51:58.104,11,6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0xdc1,28893.09,2295.7575,4,1,11,0,11,2,4.98,10,224.36,38.94258629701561,0.0,85.71733143385252,403.8584185661475,2024-07-01,2025-10-06 10:51:58.104,22,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x2bce,38957.34,3038.445,9,7,31,3,15,14,15.37,90,2274.1,29.942673216943213,52.07530566390997,270.1913491841799,251.57784515191008,2024-07-01,2025-10-06 10:51:58.104,16,11,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0xa04c,38299.84,3461.653333333333,8,520,29,7,62,10,13.58,100,1512.31,31.40318271676421,124.76769156216731,79.04346465335877,382.3541771178072,2024-07-01,2025-10-06 10:51:58.104,13,9,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x2d83,15325.73,1181.1441666666667,6,8,30,5,31,21,15.49,110,4445.87,30.46478053277143,61.85078441490701,62.522219729297596,253.74141252246204,2024-07-01,2025-10-06 10:51:58.104,11,10,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x9c3b,17891.16,1589.551559837185,10,9,27,8,44,18,2.62,80,2200.96,33.94099367264294,76.92303388526908,69.81047999435374,296.0379262831918,2024-07-01,2025-10-06 10:51:58.104,8,6,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x9e3f,15923.295,1621.94125,4,3,5,2,6,12,7.89,10,1480.54,39.324585822199154,24.84397732618231,47.56472601936964,349.7854216544481,2024-07-01,2025-10-06 10:51:58.104,27,4,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x6572,99475.83,8108.6525,7,6,10,1,25,16,3.84,14230,587.9,30.210595855718445,49.27572404842071,544.876565155028,506.7129607965514,2024-07-01,2025-10-06 10:51:58.104,28,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x1dd3,68484.44,5684.036666666668,5,7,5,5,16,20,12.52,80,105.41,37.66204647062917,225.53566734078024,308.53434580921885,314.33365351666765,2024-07-01,2025-10-06 10:51:58.104,12,8,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0x2e5f,82668.24,6873.02,7,4,16,2,28,7,10.31,60,1596.58,26.14944179224661,113.16484167511636,10000.0,620.6762194645556,2024-07-01,2025-10-06 10:51:58.104,8,9,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x7e5b,29894.7,2570.225,4,3,19,0,20,15,10.33,60,1049.2,25.28157268415276,95.87008851162832,29.85333864289988,371.2990728454717,2024-07-01,2025-10-06 10:51:58.104,13,5,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x85a2,30053.32,2254.443333333333,7,8,29,917,20,20,14.96,110,1300.78,25.68007176067308,130.46428247872706,146.13106729666802,218.84898355793823,2024-07-01,2025-10-06 10:51:58.104,13,5,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0xafe1,36512.4,3221.7000000000007,1,3,3,4,0,11,16.66,60,623.42,30.48254683444827,110.95996576540009,76.49298187469589,384.7170523599041,2024-07-01,2025-10-06 10:51:58.104,24,11,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
