Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x78db,97505.64,8343.470000000001,3,5,1,0,22,4,13.56,50,295.22,30.27962307272125,0.0,348.3208305581865,746.0261694418139,2024-08-01,2025-10-06 10:52:08.72,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0x9729,167075.68,13893.973333333332,2,4,4,0,28,0,13.86,20,831.37,33.593309304540824,0.0,311.6091667014892,1327.7881666318442,2024-08-01,2025-10-06 10:52:08.72,28,8,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0xa9c1,70218.36,5937.53,8,3,6,7,28,10,9.12,50,1476.9,34.47481614597125,305.432196761992,372.3378517544255,185.9829514835826,2024-08-01,2025-10-06 10:52:08.72,7,4,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0xbbda,72099.14,5842.350694240866,4,3,2,4,15,0,11.27,40,1421.95,35.96043451188505,426.79707669690816,417.148201553525,290.8918608420343,2024-08-01,2025-10-06 10:52:08.72,28,2,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0xc015,15811.83,1527.6525,5,6,6,6,26,16,11.25,50,171.8,34.62913948832266,62.48466605456336,92.61861573122148,277.6619682142152,2024-08-01,2025-10-06 10:52:08.72,8,4,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x18f5,41801.68,3280.473333333333,4,3,18,3,10,9,5.1099999999999985,10,140.6,29.749240908243465,71.71705310448802,360.4852650228223,185.845015206023,2024-08-01,2025-10-06 10:52:08.72,19,4,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x58ad,129575.12,10795.926666666666,3,3,8,3,3,1,7.47,50,1119.28,40.02175019954729,306.33002032943284,10000.0,755.5949420055368,2024-08-01,2025-10-06 10:52:08.72,32,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x79d9,19010.58,1762.819194639456,9,7,17,3,54,18,12.16,100,1519.25,24.935182314132657,118.824290633233,205.4811228803317,232.61189184697963,2024-08-01,2025-10-06 10:52:08.72,6,3,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x241d,19896.89,1434.0741666666663,5,4,20,4,6,18,12.08,70,2235.81,24.45103608726704,35.26800169017872,60.76411084973856,307.37530412674937,2024-08-01,2025-10-06 10:52:08.72,14,4,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x4fe9,128066.44,10394.203333333331,4,6,6,4,0,8,5.38,20,1004.44,40.45951441078775,366.3974662828732,242.5892816507011,670.433585399759,2024-08-01,2025-10-06 10:52:08.72,19,5,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
