Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x3660,77326.84,6627.903333333333,4,4,9,1,3,0,0.69,30,469.43,24.62893025109363,37.30993517228091,311.49971769356534,573.980680467487,2024-09-01,2025-10-06 10:52:22.944,23,9,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
CUS_0xc283,16012.64,1108.3866666666663,8,5,24,4,39,25,14.49,110,1527.67,28.98738005157207,31.3321220463813,86.684326085943,262.8222185343424,2024-09-01,2025-10-06 10:52:22.944,17,9,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x760c,106309.8,8410.875662626255,5,3,8,3,5,14,6.81,40,241.08,28.3614371723705,711.9017391502495,727.1566014564752,247.7309967670196,2024-09-01,2025-10-06 10:52:22.944,17,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x3798,129903.88,10538.323333333334,7,6,20,1,12,10,8.13,30,1227.21,38.30705930252655,104.74617742578714,104.6249455359507,1084.4612103715958,2024-09-01,2025-10-06 10:52:22.944,24,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x3a26,83003.64,6708.97,7,8,26,6,36,22,26.24,100,4632.53,31.63971910511406,869.4861120512145,509.2615577849714,78.22734814707337,2024-09-01,2025-10-06 10:52:22.944,13,2,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
CUS_0x4c83,39362.03,3485.169166666666,0,3,10,4,13,7,10.03,80,1283.75,27.260894300581025,121.7737020504554,95.91413369118172,380.82908092502953,2024-09-01,2025-10-06 10:52:22.944,27,8,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x4eca,93143.58,7584.965,4,4,10,5,19,20,14.67,70,1354.48,33.56499415908284,261.98950066556665,177.10343352379746,559.4035658106359,2024-09-01,2025-10-06 10:52:22.944,7,10,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
CUS_0x801f,72414.06,6234.505,5,6,19,4,7,17,9.55,20,1020.01,39.51035116177234,201.37507856429127,259.25948354899623,412.81593788671256,2024-09-01,2025-10-06 10:52:22.944,25,5,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x8666,19599.81,1716.3175,6,7,31,5,20,19,12.42,70,1825.52,29.64859195083656,53.37653269763419,123.84854259586477,284.40667470650106,2024-09-01,2025-10-06 10:52:22.944,15,4,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xac8e,38904.52,3386.043333333333,8,6,17,7,18,18,14.95,50,333.59,37.78841635468636,173.48605910350258,113.50655540950123,311.6117188203295,2024-09-01,2025-10-06 10:52:22.944,12,8,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
