Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x4156,101996.79,8498.7325,5,6,6,4,8,10,6.94,20,1260.27,34.22827688592352,211.0479856160761,201.1398900323088,677.6853743516151,2024-10-01,2025-10-06 10:52:35.116,25,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
CUS_0x62d,7388.705,441.72541666666666,3,6,30,7,19,19,10.32,110,1911.25,21.743905811912704,35.272634262120974,17.59939309815983,257.0521126784825,2024-10-01,2025-10-06 10:52:35.116,6,8,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0xa677,40656.6,3133.668701538369,0,6,7,1,17,9,1.21,70,681.37,36.82536154046111,62549.0,22.71369237244041,531.3383765012001,2024-10-01,2025-10-06 10:52:35.116,18,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x4c33,74829.56,6521.796666666666,7,9,25,6,49,22,2.46,140,2269.63,38.315817398465946,313.20464688853724,119.9801252371348,458.99489454099466,2024-10-01,2025-10-06 10:52:35.116,17,3,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
CUS_0x38b6,39447.48,3393.2900000000004,5,7,31,0,25,15,9.41,80,1924.32,25.90649549454686,194.42223742652493,121.2531463085886,273.6536162648865,2024-10-01,2025-10-06 10:52:35.116,14,11,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x5c7d,7467.86,661.3216666666666,9,10,20,2,35,10,10.84,150,1379.19,24.17507310302073,12.3539576571651,87.64699197158093,256.13121703792063,2024-10-01,2025-10-06 10:52:35.116,14,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
CUS_0xbc67,125141.22,10181.435,5,3,4,4,10,1,5.95,60,377.84,40.56693081544365,281.8616825859369,10000.0,349.4614975649118,2024-10-01,2025-10-06 10:52:35.116,29,4,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x95d,8815.64,973.6366666666668,10,8,16,6,10,18,24.57,60,3867.93,24.72623523564664,41.10639652817852,26.4890567469048,309.76821339158334,2024-10-01,2025-10-06 10:52:35.116,2,4,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
CUS_0x176b,44640.32,3792.026666666666,3,6,1,4,4,10,10.19,50,700.43,37.014838488051296,123.47626438268856,422.18202549640716,123.54437678757091,2024-10-01,2025-10-06 10:52:35.116,19,4,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
CUS_0x3f16,28942.3,2216.858333333333,8,3,13,2,12,17,5.08,30,690.71,27.66626909666259,41.83777444592569,75.44461803058293,354.4034408568247,2024-10-01,2025-10-06 10:52:35.116,31,8,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x6423,68309.04,5422.231059336125,10,7,18,5,48,22,17.11,140,4249.96,36.31666214086557,782.0998390094411,10000.0,334.98810019014235,2024-10-01,2025-10-06 10:52:35.116,12,2,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0x9bf5,97003.11,8101.5925,8,7,5,4,28,2503,8.11,60,802.47,25.6621551343968,164.35585119648348,546.1114741250092,369.6919246785074,2024-10-01,2025-10-06 10:52:35.116,18,8,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x63af,3234780.0,7321.9325,8,3,9,1,13,13,19.7,70,447.18,30.046537813748177,40.10478563991012,202.73471959299027,749.3537447670998,2024-10-01,2025-10-06 10:52:35.116,25,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x74f9,68988.68,5942.056666666666,5,4,7,2,14,4,7.15,60,1106.06,26.59085441093557,101.35813094961492,109.52637351288458,623.3211622041673,2024-10-01,2025-10-06 10:52:35.116,32,4,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
CUS_0x17ff,17574.745,1344.5620833333332,4,3,7,3,19,9,16.26,70,766.72,37.63876297140307,27.02517949812522,52.032435991118604,325.39859284408953,2024-10-01,2025-10-06 10:52:35.116,24,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
