Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x4797,114998.64,9729.22,4,4,9,0,15,11,7.87,30,369.08,36.4027095403416,0.0,64.89666151748472,344.01864530752266,2024-11-01,2025-10-06 10:52:47.427,18,9,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
CUS_0x77b3,30393.47,2760.789166666667,3,7,8,1,26,13,13.66,70,648.66,37.13731598640447,13.590245544287178,120.63575605859027,365.6236027995858,2024-11-01,2025-10-06 10:52:47.427,14,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0xa374,34680.44,2730.6099918316863,3,3,18,0,20,11,14.72,50,551.18,26.32829185051693,405.4266748349807,324.13802241717616,279.46564424949054,2024-11-01,2025-10-06 10:52:47.427,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0xacc7,92428.83,7799.4025,5,6,17,0,18,20,6.16,50,1396.62,41.83737340634868,0.0,242.8685775185381,797.071672481462,2024-11-01,2025-10-06 10:52:47.427,26,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x2bb0,44318.92,3491.2433333333333,6,6,8,0,9,9,15.55,40,1127.35,34.7449034648962,0.0,70.33292021398493,505.46957982893247,2024-11-01,2025-10-06 10:52:47.427,29,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0xabd8,55663.5,4932.625,5,4,30,7,21,13,7.39,60,1319.74,29.41069626399413,223.544548232684,300.9042869224128,238.8136648449033,2024-11-01,2025-10-06 10:52:47.427,6,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x1c34,29987.16,2557.93,4,4,3,3,6,3,2.36,10,30.53,31.30274470564953,60.3005356305808,137.6637106949272,317.82875367449213,2024-11-01,2025-10-06 10:52:47.427,32,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
CUS_0x351d,146771.72,12197.976666666667,5,4,19,2,5,9,4.72,10,48.79,39.45294047555504,194.96003355240032,420.9908375872107,853.8467955270559,2024-11-01,2025-10-06 10:52:47.427,29,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0x38dc,60036.75,5279.0625,7,8,34,5,46,18,26.9,150,3563.38,37.1449097615195,147.59303110175762,83.58675746773845,546.7264614305038,2024-11-01,2025-10-06 10:52:47.427,10,4,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
CUS_0xb7ca,9550.435,719.8695833333333,9,5,19,8,24,13,1.85,140,1823.14,23.349012079385577,48.021137822504905,36.557436529005926,257.4083839818225,2024-11-01,2025-10-06 10:52:47.427,12,8,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0x4be,13627.925,1153.183343567521,5,7,11,7,33,19,12.28,90,639.32,38.05422186214956,135.3834287418645,103.24155354020748,261.7181324837403,2024-11-01,2025-10-06 10:52:47.427,7,10,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x4de0,30804.39,2448.0325,2,5,3,4,2,4,0.54,50,884.38,35.28285823517831,80.71921301091392,82.55918512914953,361.5248518599366,2024-11-01,2025-10-06 10:52:47.427,32,8,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
CUS_0x56e7,14581.315,1073.1095833333334,8,4,10,6,13,19,7.67,80,471.0,29.04057767184221,61.62907953515175,57.84578064892224,267.8360981492593,2024-11-01,2025-10-06 10:52:47.427,11,4,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x6d30,78035.96,6211.996666666668,5,4,17,6,26,17,16.21,60,429.44,27.71270224928757,365.1021826902591,129.10326218850759,366.9942217879002,2024-11-01,2025-10-06 10:52:47.427,19,8,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0xbcf0,49465.98,4256.165,4,4,16,7,22,10,12.69,90,1694.28,36.04073386076906,252.95609499881385,100.50339287153984,312.1570121296463,2024-11-01,2025-10-06 10:52:47.427,15,11,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
CUS_0x28b3,37983.12,3398.26,7,1131,32,2,31,24,10.36,110,1629.11,37.38864673832301,50.43795578483841,193.48182687182097,385.9062173433406,2024-11-01,2025-10-06 10:52:47.427,9,4,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
CUS_0x69a2,32669.33,2850.4441666666667,3,4,7,1,14,14,3.7,20,154.63,38.54201220481772,16.36698148631289,10000.0,315.3331321316937,2024-11-01,2025-10-06 10:52:47.427,19,6,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x7666,113284.84,9516.403333333334,5,4,7,3,5,16,18.59,20,920.25,28.216687653829982,257.61661602194994,511.2635652711022,452.76015204028135,2024-11-01,2025-10-06 10:52:47.427,16,11,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x7740,14497.4,1040.1166666666666,6,10,25,6,57,25,19.54,120,4977.18,39.553609934864674,43.40016620906,88.27539391867283,242.33610653893382,2024-11-01,2025-10-06 10:52:47.427,4,11,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0xbe55,16907.7,1212.944230939044,6,7,24,8,53,1178,31.0,140,2887.41,28.99477479313893,82.04425785301001,23.883015820640907,290.7009953873053,2024-11-01,2025-10-06 10:52:47.427,6,3,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
