Customer_ID,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,snapshot_date,_ingested_at_utc,credit_history_age_year,credit_history_age_month,mortgage_loan,auto_loan,credit_builder_loan,personal_loan,not_specified,student_loan,home_equity_loan,payday_loan,debt_consolidation_loan,ohe__payment_of_min_amount__yes,ohe__payment_of_min_amount__no,ohe__payment_of_min_amount__nm,ohe__payment_of_min_amount__unknown,ohe__credit_mix__good,ohe__credit_mix__standard,ohe__credit_mix__bad,ohe__credit_mix__unknown,ohe__payment_behaviour__high_spent_small_value_payments,ohe__payment_behaviour__high_spent_medium_value_payments,ohe__payment_behaviour__high_spent_large_value_payments,ohe__payment_behaviour__low_spent_small_value_payments,ohe__payment_behaviour__low_spent_medium_value_payments,ohe__payment_behaviour__low_spent_large_value_payments,ohe__payment_behaviour__unknown
CUS_0x72a8,52860.62,4676.051666666667,6,7,8,3,18,7,7.36,20,1453.24,30.501782940881814,121.78588517209243,195.35871622949486,400.46056526507937,2024-12-01,2025-10-06 10:53:00.784,17,3,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xbe46,68369.88,5691.490000000002,4,5,11,2,13,20,9.66,20,40.13,35.92646916308062,40101.0,606.2918442215082,152.46670859737802,2024-12-01,2025-10-06 10:53:00.784,16,6,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
CUS_0x1948,82489.92,7055.16,9,9,25,3,48,15,11.33,110,1816.7,38.71449356022916,199.5546871577393,176.11096871965287,579.8503441226079,2024-12-01,2025-10-06 10:53:00.784,10,9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
CUS_0x8fec,45559.59,3860.6325,10,7,24,5,59,15,13.28,70,2663.43,38.15561559600751,138.81006997841018,242.8237295590386,264.42945046255124,2024-12-01,2025-10-06 10:53:00.784,16,4,1,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
CUS_0x926f,84389.44,7097.453333333334,7,7,6,3,20,17,6.84,10,1368.62,35.90277715024107,162.64634775152552,219.62509283248366,577.4738927493242,2024-12-01,2025-10-06 10:53:00.784,32,2,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xb7d9,89126.25,7675.1875,4,5,19,2,7,19,15.8,90,631.58,38.46590089841064,125.29314199736976,537.5586519684391,384.66695603419123,2024-12-01,2025-10-06 10:53:00.784,18,6,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
CUS_0x768c,53908.41,4456.3675,9,5,17,5,39,24,25.07,110,3078.82,24.67719916073469,219.838310179153,446.34044722252764,360.22547892619264,2024-12-01,2025-10-06 10:53:00.784,14,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
CUS_0xc000,35883.18,3176.265,6,5,8,4,16,10,7.63,50,78.52,35.70743541167115,115.80242971608308,129.1651538454417,322.65891643847533,2024-12-01,2025-10-06 10:53:00.784,31,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
CUS_0x6503,29949.1,2419.758333333333,3,3,6,7,13,17,9.87,50,1316.19,31.928041484465275,148.9974444432497,82.85996832486913,280.1184205652145,2024-12-01,2025-10-06 10:53:00.784,20,3,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x6c89,23001.71,1901.809166666667,5,6,12,3,20,16,0.83,40,1091.42,34.067769010290434,47.40727166488168,48.95746113090482,343.8161838708802,2024-12-01,2025-10-06 10:53:00.784,30,6,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x714a,6912531.0,3076.995833333333,3,5,19,4,16,13,11.23,20,1390.77,32.15187828093586,111.91060457282668,246.085177671642,219.70380108886462,2024-12-01,2025-10-06 10:53:00.784,22,11,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
CUS_0x8e8a,21863.8,1895.983333333333,7,3,14,2,10,15,10.68,20,1377.13,31.89533245110021,26.05413693394768,22.325343785761103,391.21885261362456,2024-12-01,2025-10-06 10:53:00.784,30,6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
CUS_0xc4de,70897.32,6139.1100000000015,7,8,23,7,31,19,29.02,130,3657.73,38.9473421385233,268.8336032794297,154.5885460466914,430.488850673879,2024-12-01,2025-10-06 10:53:00.784,13,8,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
CUS_0x935b,10616.07,899.6725,5,6,14,5,5,20,17.36,70,765.97,28.72982191289068,28.71775192183189,32.973551759815194,278.2759463183529,2024-12-01,2025-10-06 10:53:00.784,10,10,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
CUS_0x26eb,13999.185,932.59875,8,5,6,0,14,15,0.4500000000000002,60,16.3,35.943999560606656,10.962584704325865,47.85500458026053,314.4422857154136,2024-12-01,2025-10-06 10:53:00.784,20,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
